seed,arm,classifier,schedule,scope,reservoir_learning_rate,surrogate_slope,warmup_epochs,train_accuracy,test_accuracy,active_edges,scope_trainable_edges,readout_parameters,optimizer_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,mean_sensor_ltw_change,mean_recurrent_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,end_to_end_examples_per_second,paired_frozen_test_accuracy,accuracy_gain_vs_frozen
42,warm_all_3em4_s5,mlp,warmup,all,0.0003,5.0,10,0.9478,0.9246,384,384,34165,34677,34549,0.024226893112063407,0.02434557694941759,1.0048988467817646,0.011179974302649498,0.01098601147532463,0.011276955716311932,0.0,0.0,5.500237586999901,0.05561751700042805,89899.73428625945,0.9246,0.0
42,warm_all_1em4_s10,mlp,warmup,all,0.0001,10.0,10,0.94755,0.924,384,384,34165,34677,34549,0.024226893112063407,0.024173028022050857,0.9977766406215031,0.0037529049441218376,0.003792875912040472,0.0037329192273318768,0.0,0.0,6.285963399999673,0.04155549000006431,120321.04542606193,0.9246,-0.0005999999999999339
42,warm_all_3em4_s10,mlp,warmup,all,0.0003,10.0,10,0.948,0.9252,384,384,34165,34677,34549,0.024226893112063407,0.024370574951171876,1.0059306754045538,0.011258977465331554,0.011133244261145592,0.011321843601763248,0.0,0.0,5.491959577000671,0.04073919599977671,122731.92627629187,0.9246,0.0006000000000000449
42,warm_sensor_3em4_s10,mlp,warmup,sensor,0.0003,10.0,10,0.94805,0.9252,384,128,34165,34677,34293,0.024226893112063407,0.02434748411178589,1.0049775676627077,0.003722952678799629,0.011168858036398888,0.0,0.0,0.0,6.462471058000119,0.04068656599974929,122890.68583548706,0.9246,0.0006000000000000449
42,warm_recurrent_3em4_s10,mlp,warmup,recurrent,0.0003,10.0,10,0.948,0.924,384,256,34165,34677,34421,0.024226893112063407,0.024187313765287398,0.9983663053040713,0.007355935871601105,0.0,0.011033903807401657,0.0,0.0,5.524830087999362,0.04057642299994768,123224.26745222088,0.9246,-0.0005999999999999339
43,frozen,linear,frozen,none,0.0,10.0,0,0.9232,0.9148,384,0,10250,10250,10250,0.026380398869514467,0.026380398869514467,1.0,0.0,0.0,0.0,0.0,0.0,3.2988246200002322,0.060689324000122724,82386.81320605728,0.9148,0.0
43,joint_all_1em3_s10,linear,joint,all,0.001,10.0,0,0.92295,0.9142,384,384,10250,10762,10634,0.026380398869514467,0.042347561568021774,1.6052661590708233,0.10763393342494965,0.13734063506126404,0.09278056770563126,0.0234375,0.0520833358168602,5.876463948000492,0.039974323000024015,125080.29216647387,0.9148,-0.0005999999999999339
43,warm_all_1em4_s5,linear,warmup,all,0.0001,5.0,10,0.92355,0.916,384,384,10250,10762,10634,0.026380398869514467,0.026698419824242592,1.0120551988732678,0.00588576402515173,0.008939094841480255,0.004359098616987467,0.0,0.0,5.383036146999984,0.04001793400038878,124943.98136474073,0.9148,0.0012000000000000899
43,warm_all_3em4_s5,linear,warmup,all,0.0003,5.0,10,0.92375,0.9156,384,384,10250,10762,10634,0.026380398869514467,0.02751481980085373,1.0430024177022665,0.01720462553203106,0.025616653263568878,0.012998610734939575,0.0,0.0,6.258954650000305,0.04278835599961894,116854.2208082154,0.9148,0.0008000000000000229
43,warm_all_1em4_s10,linear,warmup,all,0.0001,10.0,10,0.92335,0.916,384,384,10250,10762,10634,0.026380398869514467,0.026706664264202117,1.012367720302542,0.005928955040872097,0.00903797522187233,0.004374444950371981,0.0,0.0,5.351834950000011,0.04086790499968629,122345.39548915907,0.9148,0.0012000000000000899
43,warm_all_3em4_s10,linear,warmup,all,0.0003,10.0,10,0.9238,0.9158,384,384,10250,10762,10634,0.026380398869514467,0.027529549039900302,1.043560757972989,0.01724395528435707,0.02589252218604088,0.012919671833515167,0.0,0.0,6.24793918100022,0.04041882000001351,123704.74942114412,0.9148,0.0010000000000000009
43,warm_sensor_3em4_s10,linear,warmup,sensor,0.0003,10.0,10,0.9237,0.916,384,128,10250,10762,10378,0.026380398869514467,0.02723378539085388,1.0323492652844457,0.00879252515733242,0.02637757547199726,0.0,0.0,0.0,5.373287352999796,0.039137119000770326,127755.95464504135,0.9148,0.0012000000000000899
43,warm_recurrent_3em4_s10,linear,warmup,recurrent,0.0003,10.0,10,0.92375,0.9144,384,256,10250,10762,10506,0.026380398869514467,0.026455283537507056,1.0028386480569529,0.00866236537694931,0.0,0.012993548065423965,0.0,0.0,6.155996457000583,0.056065378000312194,89181.59795466211,0.9148,-0.00039999999999995595
43,frozen,mlp,frozen,none,0.0,10.0,0,0.95235,0.9244,384,0,34165,34165,34165,0.026380398869514467,0.026380398869514467,1.0,0.0,0.0,0.0,0.0,0.0,3.3191091019998566,0.04153558800044266,120378.69789990004,0.9244,0.0
43,joint_all_1em3_s10,mlp,joint,all,0.001,10.0,0,0.95095,0.9248,384,384,34165,34677,34549,0.026380398869514467,0.030467262864112853,1.1549204776930504,0.061236150562763214,0.07992199808359146,0.05189322680234909,0.01302083395421505,0.0026041667442768812,5.505847249999533,0.04011919200002012,124628.63160348525,0.9244,0.00039999999999995595
43,warm_all_1em4_s5,mlp,warmup,all,0.0001,5.0,10,0.95205,0.924,384,384,34165,34677,34549,0.026380398869514467,0.02648995853960514,1.0041530710218822,0.0029380961786955595,0.0035249730572104454,0.0026446571573615074,0.0,0.0,6.3768963319998875,0.044204396000168344,113110.92227073883,0.9244,-0.00039999999999995595
43,warm_all_3em4_s5,mlp,warmup,all,0.0003,5.0,10,0.9525,0.9238,384,384,34165,34677,34549,0.026380398869514467,0.026586228981614113,1.0078023881715263,0.008540353737771511,0.010316113010048866,0.007652473635971546,0.0,0.0,5.5860481550007535,0.0406380900003569,123037.27857180513,0.9244,-0.0006000000000000449
43,warm_all_1em4_s10,mlp,warmup,all,0.0001,10.0,10,0.95235,0.9242,384,384,34165,34677,34549,0.026380398869514467,0.026498288474977018,1.0044688333199838,0.002945780288428068,0.003548629116266966,0.0026443558745086193,0.0,0.0,6.355330186000174,0.041296714000054635,121075.00853441717,0.9244,-0.00019999999999997797
