world,policy,eval_seed,sensor_noise_std,steps,population_size,mean_fitness,best_fitness,mean_food_hits,mean_toxin_hits,survival_rate,cue_action_coverage,oracle_action_agreement,mean_action_magnitude,fitness_per_unit_action
simple,base_adapter,44,0.0,480,10000,2.4113998413085938,41.0,28.050899505615234,25.63949966430664,0.6970999836921692,1.0,0.66485875,1.0,2.4113998413085938
simple,augmented_adapter,44,0.0,480,10000,1.8518999814987183,39.0,23.99720001220703,22.145299911499023,0.6753999590873718,1.0,0.6735483333333333,1.0,1.8518999814987183
simple,fixed_motor_spiking,45,0.0,480,10000,1.3655999898910522,13.0,5.277499675750732,3.9118998050689697,0.7486000061035156,0.059626716355596965,0.4158863483899821,0.06057982421875,22.5421583423543
simple,fixed_analog_cardinal,45,0.0,480,10000,0.40129998326301575,45.0,95.72560119628906,95.32429504394531,0.528499960899353,0.741016875,0.2544448352362646,0.741016875,0.5415530965647924
simple,random_cardinal,45,0.0,480,10000,-0.011899999342858791,43.0,83.93789672851562,83.94979858398438,0.513700008392334,1.0,0.24984083333333335,1.0,-0.011899999342858791
simple,direct_sensor_oracle,45,0.0,480,10000,7.48859977722168,39.0,26.93509864807129,19.44649887084961,0.9055999517440796,1.0,1.0,1.0,7.48859977722168
simple,base_adapter,45,0.0,480,10000,2.263000011444092,37.0,27.66510009765625,25.402099609375,0.6739000082015991,1.0,0.6572775,1.0,2.263000011444092
simple,augmented_adapter,45,0.0,480,10000,2.4326000213623047,36.0,25.368000030517578,22.935400009155273,0.6816999912261963,1.0,0.6830985416666666,1.0,2.4326000213623047
simple,fixed_motor_spiking,46,0.0,480,10000,1.92739999294281,21.0,12.870899200439453,10.943499565124512,0.6926999688148499,0.078023125,0.35335944738605807,0.0792586328125,24.3178556650404
simple,fixed_analog_cardinal,46,0.0,480,10000,0.28349998593330383,46.0,94.50189971923828,94.21839904785156,0.5270999670028687,0.740254375,0.2536619591069624,0.740254375,0.3829764409474835
simple,random_cardinal,46,0.0,480,10000,0.46389999985694885,45.0,85.3783950805664,84.91449737548828,0.5338999629020691,1.0,0.249971875,1.0,0.46389999985694885
simple,direct_sensor_oracle,46,0.0,480,10000,5.7600998878479,46.0,25.37380027770996,19.613698959350586,0.8173999786376953,1.0,1.0,1.0,5.7600998878479
simple,base_adapter,46,0.0,480,10000,2.5638999938964844,45.0,27.162498474121094,24.59859848022461,0.6969999670982361,1.0,0.6500416666666666,1.0,2.5638999938964844
simple,augmented_adapter,46,0.0,480,10000,1.872399926185608,36.0,20.802398681640625,18.93000030517578,0.6916999816894531,1.0,0.6814803117257143,1.0,1.872399926185608
simple,fixed_motor_spiking,47,0.0,480,10000,1.667199969291687,18.0,7.696099758148193,6.028899669647217,0.7226999998092651,0.06225229166666667,0.38076911492548804,0.06318896484375,26.384353239750677
simple,fixed_analog_cardinal,47,0.0,480,10000,-0.11589999496936798,54.0,96.11470031738281,96.23059844970703,0.5101000070571899,0.7410225,0.25139109586191155,0.7410225,-0.15640550046640686
simple,random_cardinal,47,0.0,480,10000,0.11539999395608902,46.0,84.26329803466797,84.14789581298828,0.5267999768257141,1.0,0.24994041666666666,1.0,0.11539999395608902
simple,direct_sensor_oracle,47,0.0,480,10000,3.940699815750122,40.0,26.431299209594727,22.490598678588867,0.7838000059127808,1.0,1.0,1.0,3.940699815750122
simple,base_adapter,47,0.0,480,10000,2.2398998737335205,36.0,30.214799880981445,27.974899291992188,0.6739999651908875,1.0,0.6598210416666667,1.0,2.2398998737335205
simple,augmented_adapter,47,0.0,480,10000,1.830899953842163,38.0,27.574899673461914,25.743999481201172,0.6523000001907349,1.0,0.6691814583333333,1.0,1.830899953842163
simple,fixed_motor_spiking,43,0.05,480,10000,0.7234999537467957,13.0,5.403800010681152,4.680299758911133,0.6504999995231628,0.05897,0.3696865637894975,0.059859889322916665,12.086556823448921
simple,fixed_analog_cardinal,43,0.05,480,10000,0.3068999946117401,49.0,96.89239501953125,96.58549499511719,0.5311999917030334,0.7427608333333333,0.2546254794892479,0.7427608333333333,0.4131881769188693
simple,random_cardinal,43,0.05,480,10000,0.45489999651908875,47.0,85.11909484863281,84.66419982910156,0.5295999646186829,1.0,0.25009770833333334,1.0,0.45489999651908875
simple,direct_sensor_oracle,43,0.05,480,10000,6.658199787139893,45.0,31.061899185180664,24.40369987487793,0.865399956703186,1.0,1.0,1.0,6.658199787139893
simple,base_adapter,43,0.05,480,10000,1.8464999198913574,39.0,30.794300079345703,28.947799682617188,0.649399995803833,1.0,0.6309722916666667,1.0,1.8464999198913574
simple,augmented_adapter,43,0.05,480,10000,2.667799949645996,42.0,30.449899673461914,27.7820987701416,0.702299952507019,1.0,0.6524358333333333,1.0,2.667799949645996
simple,fixed_motor_spiking,44,0.05,480,10000,2.924299955368042,22.0,14.180999755859375,11.256699562072754,0.7595999836921692,0.06784145833333333,0.3206434118763416,0.0690030859375,42.37926341463548
simple,fixed_analog_cardinal,44,0.05,480,10000,-0.01599999889731407,50.0,97.06839752197266,97.08439636230469,0.5137999653816223,0.742740625,0.2533244697635867,0.742740625,-0.021541838912223322
simple,random_cardinal,44,0.05,480,10000,0.2911999821662903,46.0,84.8677978515625,84.57659912109375,0.5264999866485596,1.0,0.24980833333333333,1.0,0.2911999821662903
simple,direct_sensor_oracle,44,0.05,480,10000,5.1265997886657715,49.0,28.889699935913086,23.763099670410156,0.8252999782562256,1.0,1.0,1.0,5.1265997886657715
simple,base_adapter,44,0.05,480,10000,1.9706999063491821,46.0,31.223299026489258,29.252599716186523,0.6383000016212463,1.0,0.63887875,1.0,1.9706999063491821
simple,augmented_adapter,44,0.05,480,10000,2.375499963760376,41.0,30.225399017333984,27.849899291992188,0.668999969959259,1.0,0.64538125,1.0,2.375499963760376
