world,policy,sensor_noise_std,seeds,mean_fitness,std_mean_fitness,mean_food_hits,mean_toxin_hits,mean_survival_rate,mean_cue_action_coverage,mean_oracle_action_agreement,mean_action_magnitude,mean_fitness_per_unit_action
simple,base_adapter,0.05,5,2.0210599422454836,0.35923853107388876,29.927959060668947,27.90689926147461,0.6501399993896484,1.0,0.636095125,1.0,2.0210599422454836
simple,base_adapter,0.15,5,2.252519965171814,0.3512213698530937,44.44169921875,42.189178466796875,0.6353599786758423,1.0,0.6050012083333334,1.0,2.252519965171814
simple,direct_sensor_oracle,0.0,5,5.500199937820435,1.1598485198623396,27.452099227905272,21.951898956298827,0.8297399878501892,1.0,1.0,1.0,5.500199937820435
simple,direct_sensor_oracle,0.05,5,5.37747974395752,0.7609363163201311,30.621799087524415,25.244319915771484,0.8214799761772156,1.0,1.0,1.0,5.37747974395752
simple,direct_sensor_oracle,0.15,5,5.146639823913574,0.7608638264507162,43.079158782958984,37.932518768310544,0.775879979133606,1.0,1.0,1.0,5.146639823913574
simple,fixed_analog_cardinal,0.0,5,0.09323999583721161,0.2945702938926258,95.74109954833985,95.64785766601562,0.5188199758529664,0.7408607083333333,0.2546310390924763,0.7408607083333333,0.12585255051706165
simple,fixed_analog_cardinal,0.05,5,0.2639399953186512,0.3830745612054308,96.92823791503906,96.66429595947265,0.5262399792671204,0.7427625416666667,0.2530608158637224,0.7427625416666667,0.3554008079370484
simple,fixed_analog_cardinal,0.15,5,0.1162199903279543,0.43239227672104774,95.93801879882812,95.82179718017578,0.5196799993515014,0.7342247083333333,0.2535556115848939,0.7342247083333333,0.15828108657697018
simple,fixed_motor_spiking,0.0,5,1.8582599878311157,0.3402324118450312,8.683199691772462,6.8249396800994875,0.7400399923324585,0.06767280160445273,0.3760227725638658,0.06875745442708334,26.924895312811373
simple,fixed_motor_spiking,0.05,5,1.5078799724578857,0.7871180842810723,7.198479890823364,5.690599846839905,0.723039984703064,0.05880891666666667,0.3604760662154577,0.05976754557291667,24.410830045391318
simple,fixed_motor_spiking,0.15,5,0.6250199779868126,0.5012228026303286,7.9552998542785645,7.330279779434204,0.6307999968528748,0.05961910357272336,0.3165764781158304,0.060582712239583336,10.533549444158059
simple,random_cardinal,0.0,5,0.2626999946311116,0.18726290556727293,84.71329650878906,84.45059814453126,0.5260999798774719,1.0,0.249994,1.0,0.2626999946311116
simple,random_cardinal,0.05,5,0.2626999946311116,0.18726290556727293,84.71329650878906,84.45059814453126,0.5260999798774719,1.0,0.24998862500000002,1.0,0.2626999946311116
simple,random_cardinal,0.15,5,0.2626999946311116,0.18726290556727293,84.71329650878906,84.45059814453126,0.5260999798774719,1.0,0.25003725,1.0,0.2626999946311116
