seed,arm,classifier,schedule,delay_pattern,max_delay_steps,warmup_epochs,train_accuracy,test_accuracy,active_edges,recurrent_edges,delayed_edges,delay_0_recurrent_edges,delay_1_recurrent_edges,delay_2_recurrent_edges,mean_recurrent_delay,scope_trainable_edges,readout_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,end_to_end_examples_per_second,paired_no_delay_test_accuracy,accuracy_gain_vs_no_delay_control,event_rate_vs_no_delay_control
43,recurrent_delay1_frozen,mlp,frozen,uniform_1,1,0,0.5248,0.5266,272,256,256,0,256,0,1.0,0,17802,17802,0.016315624991059305,0.016315624991059305,1.0,0.0,0.0,0.0,4.856576958000005,0.05034828300085792,99308.25247635161,0.5496,-0.02300000000000002,0.983632819628351
43,recurrent_delay1_warm_all,mlp,warmup,uniform_1,1,10,0.5406,0.544,272,256,256,0,256,0,1.0,272,17802,18074,0.016315624991059305,0.019403906199336053,1.189283659680158,0.006778372917324305,0.0,0.0036764706019312143,7.09044812600041,0.05040159200143535,99203.21564163308,0.5608,-0.016799999999999926,1.093755505670663
43,recurrent_hash012_warm_all,mlp,warmup,hash_0_2,2,10,0.6422,0.647,272,256,163,93,72,91,0.9921875,272,17802,18074,0.016376562505960465,0.01800859378874302,1.0996565232898268,0.005560318473726511,0.0,0.0,9.483115589999215,0.0630378979985835,79317.36556495511,0.5608,0.08620000000000005,1.0151048146428452
43,recurrent_distance012_warm_all,mlp,warmup,distance_0_2,2,10,0.6477,0.645,272,256,181,75,99,82,1.02734375,272,17802,18074,0.01607148433923721,0.017603515526652336,1.0953260542135985,0.005555038806051016,0.0,0.0036764706019312143,9.584439215999737,0.07459587799894507,67027.83228948267,0.5608,0.08420000000000005,0.9922714441432318
44,raw,linear,raw,none,0,0,0.84235,0.8606,0,0,0,0,0,0,0.0,0,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.6862467390001257,0.002075636999506969,2408899.051803211,0.4436,0.41700000000000004,0.0
44,lif_no_delay_frozen,linear,frozen,none,0,0,0.42515,0.4246,272,256,0,256,0,0,0.0,0,1290,1290,0.014374609366059303,0.014374609366059303,1.0,0.0,0.0,0.0,3.0483699060005165,0.03960843200002273,126235.74697420819,0.4246,0.0,1.0
44,lif_no_delay_warm_all,linear,warmup,none,0,10,0.44435,0.4436,272,256,0,256,0,0,0.0,272,1290,1562,0.014374609366059303,0.017785546773672105,1.2372890504883254,0.020223520696163177,0.0,0.0036764706019312143,5.620486704001451,0.050532362000012654,98946.4929424583,0.4436,0.0,1.0
44,recurrent_delay1_frozen,linear,frozen,uniform_1,1,0,0.4339,0.4406,272,256,256,0,256,0,1.0,0,1290,1290,0.014386328141391277,0.014386328141391277,1.0,0.0,0.0,0.0,4.397578292000617,0.05041501599953335,99176.80081756358,0.4246,0.016000000000000014,1.0008152413073321
44,recurrent_delay1_warm_all,linear,warmup,uniform_1,1,10,0.46085,0.4728,272,256,256,0,256,0,1.0,272,1290,1562,0.014386328141391277,0.017413671913743017,1.2104319978383984,0.016920527443289757,0.0,0.0036764706019312143,6.982395095999891,0.04892890600058308,102189.08225621098,0.4436,0.029200000000000004,0.9790911764107487
44,recurrent_hash012_warm_all,linear,warmup,hash_0_2,2,10,0.5175,0.5268,272,256,157,99,76,81,0.9296875,272,1290,1562,0.014201562468707562,0.01750585934817791,1.2326713618132654,0.021421540528535843,0.0,0.0036764706019312143,9.523648718999539,0.05929987400122627,84317.21119502891,0.4436,0.08320000000000005,0.9842744544739993
44,recurrent_distance012_warm_all,linear,warmup,distance_0_2,2,10,0.5205,0.527,272,256,168,88,82,86,0.9921875,272,1290,1562,0.014307031206786633,0.017646093735098838,1.233386121834158,0.01983703300356865,0.0,0.0036764706019312143,9.365185921000375,0.05880446100127301,85027.56278799595,0.4436,0.08340000000000003,0.9921591930600807
44,raw,mlp,raw,none,0,0,0.9416,0.9426,0,0,0,0,0,0,0.0,0,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.8422357349991216,0.002705026001422084,1848411.067905227,0.5566,0.386,0.0
44,lif_no_delay_frozen,mlp,frozen,none,0,0,0.5565,0.5546,272,256,0,256,0,0,0.0,0,17802,17802,0.014374609366059303,0.014374609366059303,1.0,0.0,0.0,0.0,3.174296993000098,0.04232159400089586,118142.99810858165,0.5546,0.0,1.0
44,lif_no_delay_warm_all,mlp,warmup,none,0,10,0.55855,0.5566,272,256,0,256,0,0,0.0,272,17802,18074,0.014374609366059303,0.015459375040233135,1.0754640106419262,0.007376111578196287,0.0,0.0,6.271442894998472,0.05523617200014996,90520.39304943915,0.5566,0.0,1.0
44,recurrent_delay1_frozen,mlp,frozen,uniform_1,1,0,0.51025,0.5142,272,256,256,0,256,0,1.0,0,17802,17802,0.014386328141391277,0.014386328141391277,1.0,0.0,0.0,0.0,4.547651413000494,0.0519974259987066,96158.60600723527,0.5546,-0.04039999999999999,1.0008152413073321
44,recurrent_delay1_warm_all,mlp,warmup,uniform_1,1,10,0.53515,0.5396,272,256,256,0,256,0,1.0,272,17802,18074,0.014386328141391277,0.01682226549386978,1.1693230773368783,0.006738690659403801,0.0,0.0,7.353912667998884,0.06641674100137607,75282.22440026689,0.5566,-0.017000000000000015,1.088159479286175
44,recurrent_hash012_warm_all,mlp,warmup,hash_0_2,2,10,0.6406,0.6346,272,256,157,99,76,81,0.9296875,272,17802,18074,0.014201562468707562,0.015671874909102917,1.1035317376968286,0.007200231309980154,0.0,0.0,9.215862712999296,0.059521926999877905,84002.65670179421,0.5566,0.07800000000000007,1.013745695949335
44,recurrent_distance012_warm_all,mlp,warmup,distance_0_2,2,10,0.63295,0.6366,272,256,168,88,82,86,0.9921875,272,17802,18074,0.014307031206786633,0.015868749949336052,1.109157428957631,0.007500410079956055,0.0,0.0,9.373187905999657,0.060177803001352004,83087.11436154733,0.5566,0.08000000000000007,1.026480689422277
