seed,arm,model_kind,readout_kind,hidden_neurons,reservoir_threshold,delay_pattern,train_accuracy,test_accuracy,active_edges,delayed_edges,effective_trainable_parameters,allocated_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,test_examples_per_second,gain_vs_sparse_linear,gain_vs_mlp_no_delay,gain_vs_base_distance,gain_vs_relevant_control
43,sparse128_mlp_no_delay,sparse,mlp,128,1.0,none,0.44090240313879353,0.4037102473498233,1212,0,36688,37524,0.35839137350712563,0.35533638135283235,0.9914758211828653,0.029143067076802254,0.0,0.004125412553548813,33.27876418799997,0.34808540399990306,6504.150918090867,0.04151943462897523,0.0,-0.004858657243816289,0.04151943462897523
43,sparse128_mlp_distance012,sparse,mlp,128,1.0,distance_0_2,0.45340853359489947,0.4085689045936396,1212,339,36688,37524,0.36233375034568166,0.3586489941543067,0.9898304913967866,0.026453834027051926,0.0,0.004125412553548813,52.33763634000002,0.6376112410000587,3550.752957945093,0.046378091872791516,0.004858657243816289,0.0,0.004858657243816289
43,sparse256_mlp_distance012,sparse,mlp,256,1.0,distance_0_2,0.5778567925453654,0.5340106007067138,1724,679,69968,70292,0.23287761732672635,0.23439449198254428,1.006513612914932,0.022617071866989136,0.0005800463841296732,0.002320185536518693,52.590981629,0.4043779319999885,5598.722929321633,0.17181978798586572,0.1303003533568905,0.1254416961130742,0.1254416961130742
43,sparse128_mlp_distance012_threshold1p5,sparse,mlp,128,1.5,distance_0_2,0.48761647866601276,0.4174028268551237,1212,339,36688,37524,0.26261653885403285,0.2676367868172406,1.0191162673345493,0.031908873468637466,0.0,0.004125412553548813,53.5071102469999,0.4198625129999982,5392.241340679085,0.05521201413427562,0.013692579505300395,0.008833922261484106,0.008833922261484106
44,event_count_linear,count,linear,128,1.0,none,0.6067925453653752,0.4642226148409894,0,0,14020,14020,0.0,0.0,0.0,0.0,0.0,0.0,2.834590323000157,0.03342809400010083,67727.4630133914,0.0706713780918728,0.017667844522968212,0.006183745583038913,0.0
44,event_count_mlp,count,mlp,128,1.0,none,0.693477194703286,0.5013250883392226,0,0,92308,92308,0.0,0.0,0.0,0.0,0.0,0.0,2.555874420000009,0.03490035899994837,64870.392880581814,0.107773851590106,0.054770318021201414,0.043286219081272115,0.0
44,sparse128_linear_no_delay,sparse,linear,128,1.0,none,0.3653751839136832,0.39355123674911663,1212,0,6352,7188,0.343768547364764,0.3560332186230501,1.0356771186669163,0.056632209569215775,0.0016501650679856539,0.03465346619486809,34.19189450800013,0.2928706949999196,7730.373979549649,0.0,-0.05300353356890458,-0.06448763250883388,0.0
44,sparse128_mlp_no_delay,sparse,mlp,128,1.0,none,0.4905590975968612,0.4465547703180212,1212,0,36688,37524,0.343768547364764,0.340405845705275,0.9902181229630618,0.02537272870540619,0.0,0.004950495436787605,33.354921790999924,0.36410610500001894,6217.967699277886,0.05300353356890458,0.0,-0.0114840989399293,0.05300353356890458
44,sparse128_mlp_distance012,sparse,mlp,128,1.0,distance_0_2,0.49865129965669447,0.4580388692579505,1212,345,36688,37524,0.3480663510177666,0.3451270664327979,0.9915553900100539,0.025920430198311806,0.0,0.0066006602719426155,52.36645204599995,0.5877102199999626,3852.238608340253,0.06448763250883388,0.0114840989399293,0.0,0.0114840989399293
44,sparse256_mlp_distance012,sparse,mlp,256,1.0,distance_0_2,0.631436978911231,0.5605123674911661,1724,702,69968,70292,0.22771232798958835,0.22873426278783238,1.0044878325528812,0.02124353125691414,0.0005800463841296732,0.0034802784211933613,52.69965649599999,0.4153035809999892,5451.4338512290815,0.16696113074204944,0.11395759717314485,0.10247349823321555,0.10247349823321555
44,sparse128_mlp_distance012_threshold1p5,sparse,mlp,128,1.5,distance_0_2,0.5465914664051006,0.4584805653710247,1212,345,36688,37524,0.2539731615844969,0.255195105454947,1.004811311017379,0.030320554971694946,0.0,0.00577557785436511,53.42530203199999,0.39534011299997474,5726.714607379456,0.06492932862190809,0.011925795053003507,0.0004416961130742081,0.0004416961130742081
