seed,strategy,adaptation_samples,source_accuracy,shifted_accuracy,activity,state_contribution,state_specificity,mean_absolute_gate,test_examples_per_second,cumulative_adaptation_seconds,adaptation_trainable_parameters,memory_contribution,association_specificity,active_memory_cells
158,dense_prototype_memory,256,0.6168678245510745,0.5578451574919047,0.6287361753371756,,,0.0,9923.349713735346,0.02869071600071038,0,-0.0035815916004316994,0.0017662643508978837,16320
158,dense_prototype_memory,1024,0.6168678245510745,0.5627023844568737,0.6287361753371756,,,0.0,10032.10947876356,0.11039841900128522,0,0.001275635364537342,0.002502207830438641,16800
158,dense_prototype_memory,4096,0.6168678245510745,0.5637327053282308,0.6287361753371756,,,0.0,10483.16299021622,0.41394407600091654,0,0.0023059562358944685,0.003238151309979398,16800
158,spiking_prototype_memory,0,0.6168678245510745,0.5614267490923364,0.20000001776588056,,,0.0,11305.665730818037,0.0,0,0.0,0.0,0
158,spiking_prototype_memory,64,0.6168678245510745,0.5547541948778334,0.20000001776588056,,,0.0,10193.391909991924,0.006979398000112269,0,-0.006672554214502968,-0.0037778431949759828,12960
158,spiking_prototype_memory,256,0.6168678245510745,0.5628005102541458,0.20000001776588056,,,0.0,9885.752106083586,0.03143974799968419,0,0.001373761161809428,0.0018643901481699698,16320
158,spiking_prototype_memory,1024,0.6168678245510745,0.563978019821411,0.20000001776588056,,,0.0,10128.613468765849,0.11426965300051961,0,0.002551270729074684,0.00264939652634677,16800
158,spiking_prototype_memory,4096,0.6168678245510745,0.5640761456186831,0.20000001776588056,,,0.0,10124.708084019185,0.4563807420017838,0,0.00264939652634677,0.0037287802963399397,16800
159,dropout_tcn_static,0,0.6012658227848101,0.5638308311255029,0.3092739984309775,,,0.0,10771.506881496805,0.0,0,,,0
159,dropout_tcn_static,64,0.6012658227848101,0.5638308311255029,0.3092739984309775,,,0.0,10938.608513054838,0.0,0,,,0
159,dropout_tcn_static,256,0.6012658227848101,0.5638308311255029,0.3092739984309775,,,0.0,7094.848402626236,0.0,0,,,0
159,dropout_tcn_static,1024,0.6012658227848101,0.5638308311255029,0.3092739984309775,,,0.0,8734.368421876146,0.0,0,,,0
159,dropout_tcn_static,4096,0.6012658227848101,0.5638308311255029,0.3092739984309775,,,0.0,10900.064050524512,0.0,0,,,0
159,dropout_tcn_readout,0,0.6012658227848101,0.5638308311255029,0.3092739984309775,,,0.0,10911.938654377373,0.0,16835,,,0
159,dropout_tcn_readout,64,0.5937591992934943,0.558188597782357,0.3092739984309775,,,0.0,10978.742877998293,0.021426213999802712,16835,,,0
159,dropout_tcn_readout,256,0.5878716514571681,0.5568148366205475,0.3092739984309775,,,0.0,8398.995006963672,0.08297172699894872,16835,,,0
159,dropout_tcn_readout,1024,0.5918457462466883,0.5743302914336179,0.3092739984309775,,,0.0,8396.757124446276,0.4641393269994296,16835,,,0
159,dropout_tcn_readout,4096,0.5983711117652831,0.589736041605338,0.3092739984309775,,,0.0,11703.004829690224,1.3982619990001695,16835,,,0
159,dropout_tcn_full_finetune,0,0.6012658227848101,0.5638308311255029,0.3092739984309775,,,0.0,11651.333385409178,0.0,131971,,,0
159,dropout_tcn_full_finetune,64,0.5779118830340496,0.5600039250318909,0.3290787478820251,,,0.0,10963.72444456603,0.029897653999796603,131971,,,0
159,dropout_tcn_full_finetune,256,0.5759493670886076,0.5649592777941321,0.3216290823956629,,,0.0,8251.621351285883,0.0910567800001445,131971,,,0
159,dropout_tcn_full_finetune,1024,0.5761456186831518,0.5816897262290256,0.3469494624737259,,,0.0,8148.944362824386,0.5181645739994565,131971,,,0
159,dropout_tcn_full_finetune,4096,0.6002355019134531,0.5993523697380041,0.3413531808053742,,,0.0,10596.86428387704,1.5212479809979413,131971,,,0
159,dense_prototype_memory,0,0.6012658227848101,0.5638308311255029,0.6754285177425575,,,0.0,10451.947185888237,0.0,0,0.0,0.0,0
159,dense_prototype_memory,64,0.6012658227848101,0.5196742223530566,0.6754285177425575,,,0.0,7196.67498192974,0.010719275998781086,0,-0.044156608772446315,0.013982926111274607,13440
159,dense_prototype_memory,256,0.6012658227848101,0.5577960945932686,0.6754285177425575,,,0.0,9942.710120862159,0.02936406399749103,0,-0.006034736532234297,0.002698459424982924,16800
159,dense_prototype_memory,1024,0.6012658227848101,0.5641252085173192,0.6754285177425575,,,0.0,7522.093078797,0.16014913099752448,0,0.00029437739181625844,0.003238151309979398,16800
159,dense_prototype_memory,4096,0.6012658227848101,0.5662349131586694,0.6754285177425575,,,0.0,10606.819091725058,0.49336514599781367,0,0.0024040820331664436,0.004660975370424869,16800
