seed,strategy,source_model,adaptation_kind,adaptation_samples,source_accuracy,shifted_accuracy,activity,test_examples_per_second,cumulative_adaptation_seconds,adaptation_trainable_parameters
150,tcn_static,dilated_tcn,static,256,0.5719752722990874,0.46580315965067215,0.2862007894070082,11735.566856028432,0.0,0
150,tcn_static,dilated_tcn,static,1024,0.5719752722990874,0.46580315965067215,0.2862007894070082,11791.052640913465,0.0,0
150,tcn_static,dilated_tcn,static,4096,0.5719752722990874,0.46580315965067215,0.2862007894070082,11915.663835747218,0.0,0
150,tcn_readout,dilated_tcn,readout,0,0.5719752722990874,0.46580315965067215,0.2862007894070082,7849.60808395686,0.0,16835
150,tcn_readout,dilated_tcn,readout,64,0.5671671082327544,0.473260720243352,0.2862007894070082,9231.935003756715,0.03683054099997207,16835
150,tcn_readout,dilated_tcn,readout,256,0.5611814345991561,0.48415268374055537,0.2862007894070082,11650.811974364877,0.09492383999986487,16835
150,tcn_readout,dilated_tcn,readout,1024,0.5531841821214797,0.5092238249435777,0.2862007894070082,11284.980936913564,0.3275545679998686,16835
150,tcn_readout,dilated_tcn,readout,4096,0.5509272887842214,0.5284074183102738,0.2862007894070082,11579.982268821434,1.2318378309998934,16835
150,tcn_full_finetune,dilated_tcn,full_finetune,0,0.5719752722990874,0.46580315965067215,0.2862007894070082,8039.166744650973,0.0,131971
150,tcn_full_finetune,dilated_tcn,full_finetune,64,0.5337062113629674,0.4939162005691296,0.2868486571628953,8939.34936844266,0.04139784199992391,131971
150,tcn_full_finetune,dilated_tcn,full_finetune,256,0.5284564812089099,0.5063781768226867,0.27971772974869324,11789.536907580778,0.10290550599984272,131971
150,tcn_full_finetune,dilated_tcn,full_finetune,1024,0.5300264939652635,0.5395937591992935,0.2835627459483109,11683.454174395873,0.35872254299988526,131971
150,tcn_full_finetune,dilated_tcn,full_finetune,4096,0.5632911392405063,0.5645177117064076,0.31909892957000685,11905.011160074406,1.3848687269999118,131971
