seed,arm,classifier,model_kind,gate_mode,delay_initialization,train_delays,train_accuracy,test_accuracy,active_edges,recurrent_edges,delayed_edges,changed_delay_assignments,mean_recurrent_delay,final_delay_entropy,readout_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,paired_fixed_distance_test_accuracy,accuracy_gain_vs_fixed_distance
43,lif_no_delay_warm_all,mlp,fixed,fixed,none,False,0.5473,0.5608,272,256,0,0,0.0,0.0,17802,18074,0.016587109199166297,0.017739843687415123,1.0694958039045626,0.0055378396064043045,0.0,0.0036764706019312143,5.964018286000282,0.06006809499922383,0.6452,-0.08440000000000003
43,fixed_distance012_warm_all,mlp,fixed,fixed,distance,False,0.6477,0.6452,272,256,181,0,1.02734375,0.0,17802,18074,0.01607148433923721,0.017604296776652335,1.0953746651560297,0.005553975235670805,0.0,0.0036764706019312143,9.37001301700002,0.06259925999984262,0.6452,0.0
43,learned_soft_distance_init,mlp,learned,soft,distance,True,0.6427,0.639,272,256,181,0,1.02734375,0.21502798795700073,17802,18842,0.01605585944056511,0.017609765672683717,1.096781255333655,0.005466582253575325,0.0,0.0036764706019312143,11.067700829000387,0.05997695299993211,0.6452,-0.006199999999999983
43,learned_st_distance_init,mlp,learned,straight_through,distance,True,0.6476,0.6458,272,256,181,0,1.02734375,0.2187986969947815,17802,18842,0.01607148433923721,0.017605468514561653,1.0954475730396194,0.0055621531791985035,0.0,0.0036764706019312143,11.540741353999692,0.06959516300048563,0.6452,0.0006000000000000449
43,learned_soft_flat_init,mlp,learned,soft,flat,True,0.5769,0.5792,272,256,24,24,0.1640625,1.0633776187896729,17802,18842,0.016123046937584876,0.018175390687584878,1.1272925494756036,0.006596991326659918,0.0,0.0036764706019312143,11.017478136000136,0.06287536499985436,0.6452,-0.06599999999999995
44,raw,linear,raw,fixed,none,False,0.84235,0.8606,0,0,0,0,0.0,0.0,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.6967058410009486,0.0023506420002377126,0.527,0.3336
44,lif_no_delay_warm_all,linear,fixed,fixed,none,False,0.44435,0.4436,272,256,0,0,0.0,0.0,1290,1562,0.014374609366059303,0.017785546773672105,1.2372890504883254,0.020223518833518028,0.0,0.0036764706019312143,6.240163229000245,0.043548912999540335,0.527,-0.08340000000000003
44,fixed_distance012_warm_all,linear,fixed,fixed,distance,False,0.5205,0.527,272,256,168,0,0.9921875,0.0,1290,1562,0.014307031206786633,0.017646093735098838,1.233386121834158,0.01983703300356865,0.0,0.0036764706019312143,9.578874666000047,0.05905877499935741,0.527,0.0
44,learned_soft_distance_init,linear,learned,soft,distance,True,0.513,0.5228,272,256,170,5,1.0,0.2306738644838333,1290,2330,0.01429453121572733,0.017726171839237213,1.2400666780687621,0.01965305767953396,0.0,0.0036764706019312143,10.874275753001712,0.059680962998754694,0.527,-0.0041999999999999815
44,learned_st_distance_init,linear,learned,straight_through,distance,True,0.5199,0.5242,272,256,169,3,0.9921875,0.2278357744216919,1290,2330,0.014307031206786633,0.01769882806241512,1.237072024699266,0.019758395850658417,0.0,0.0036764706019312143,11.494664791000105,0.1124991830001818,0.527,-0.0028000000000000247
44,learned_soft_flat_init,linear,learned,soft,flat,True,0.4897,0.4996,272,256,39,39,0.22265625,1.0576741695404053,1290,2330,0.014351171793043613,0.01743359372615814,1.2147853832123074,0.019851723685860634,0.0,0.0036764706019312143,10.013493487998858,0.06522412100093788,0.527,-0.027400000000000035
44,raw,mlp,raw,fixed,none,False,0.9416,0.9426,0,0,0,0,0.0,0.0,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.9316296169999987,0.0033312320010736585,0.6372,0.3054
44,lif_no_delay_warm_all,mlp,fixed,fixed,none,False,0.55905,0.5562,272,256,0,0,0.0,0.0,17802,18074,0.014374609366059303,0.015464062467217446,1.0757901013804598,0.007356042508035898,0.0,0.0,6.484315375000733,0.0409278520000953,0.6372,-0.08099999999999996
44,fixed_distance012_warm_all,mlp,fixed,fixed,distance,False,0.6332,0.6372,272,256,168,0,0.9921875,0.0,17802,18074,0.014307031206786633,0.015874609333276748,1.1095669747156576,0.007500538136810064,0.0,0.0,9.98034944400024,0.06671719900077733,0.6372,0.0
44,learned_soft_distance_init,mlp,learned,soft,distance,True,0.63585,0.64,272,256,168,1,0.99609375,0.24347133934497833,17802,18842,0.01429453121572733,0.01593828118890524,1.114991527065218,0.007925317622721195,0.0,0.0,10.430151447999378,0.09696244499900786,0.6372,0.0028000000000000247
44,learned_st_distance_init,mlp,learned,straight_through,distance,True,0.6332,0.6418,272,256,167,2,0.9921875,0.24574780464172363,17802,18842,0.014307031206786633,0.015891796825826168,1.1107683065853515,0.0075590661726891994,0.0,0.0,11.245597905000977,0.06971274699935748,0.6372,0.0046000000000000485
44,learned_soft_flat_init,mlp,learned,soft,flat,True,0.5897,0.5916,272,256,30,30,0.203125,1.0687592029571533,17802,18842,0.014351171793043613,0.01583632804900408,1.1034867589474722,0.007325885817408562,0.0,0.0036764706019312143,11.089638059998833,0.0593955599997571,0.6372,-0.045599999999999974
