generation,mean_best_fitness,std_best_fitness,min_best_fitness,max_best_fitness,mean_population_fitness,mean_active_synapses
137,24.5,1.6499158227686108,23.0,27.0,0.07775999903678894,75.8288185119629
138,24.5,1.6499158227686108,23.0,27.0,-0.13909999653697014,75.96354827880859
139,24.6,1.6465452046971292,23.0,27.0,0.15077999774366618,76.10763854980469
140,24.6,1.6465452046971292,23.0,27.0,0.09972000047564507,76.23131790161133
141,24.6,1.6465452046971292,23.0,27.0,0.05774999856948852,76.41643829345703
142,24.6,1.6465452046971292,23.0,27.0,0.20530999284237622,76.54353866577148
143,24.6,1.6465452046971292,23.0,27.0,0.0237699955701828,76.66165924072266
144,24.6,1.6465452046971292,23.0,27.0,-0.06540999561548233,76.77380828857422
145,24.6,1.6465452046971292,23.0,27.0,0.07335999943315982,76.89704818725586
146,24.6,1.6465452046971292,23.0,27.0,0.07008999604731798,77.00161819458008
147,24.9,1.5951314818673865,23.0,27.0,0.08318999646871816,77.13502807617188
148,24.9,1.5951314818673865,23.0,27.0,-0.0835299993865192,77.24939804077148
149,24.9,1.5951314818673865,23.0,27.0,-0.0909899901598692,77.3512969970703
150,24.9,1.5951314818673865,23.0,27.0,-0.03164999857544899,77.45128784179687
151,24.9,1.5951314818673865,23.0,27.0,-0.02015999788418412,77.56683807373047
152,24.9,1.5951314818673865,23.0,27.0,-0.057509999111061916,77.69288864135743
153,24.9,1.5951314818673865,23.0,27.0,-0.04053999818861485,77.82456817626954
154,24.9,1.5951314818673865,23.0,27.0,-0.009369996190071107,77.9333282470703
155,24.9,1.5951314818673865,23.0,27.0,-0.06382000483572484,78.04774780273438
156,24.9,1.5951314818673865,23.0,27.0,-0.0018900033086538316,78.17618865966797
157,24.9,1.5951314818673865,23.0,27.0,0.012159997597336769,78.28719787597656
158,24.9,1.5951314818673865,23.0,27.0,-0.11576999425888061,78.42940902709961
159,24.9,1.5951314818673865,23.0,27.0,-0.2637099956162274,78.55002899169922
160,24.9,1.5951314818673865,23.0,27.0,0.15397999659180642,78.66948776245117
161,24.9,1.5951314818673865,23.0,27.0,-0.004699997883290052,78.77316818237304
162,24.9,1.5951314818673865,23.0,27.0,-0.08055000081658363,78.88277969360351
163,24.9,1.5951314818673865,23.0,27.0,0.07545999903231859,78.99068908691406
164,24.9,1.5951314818673865,23.0,27.0,-0.013920000940561294,79.07318878173828
165,24.9,1.5951314818673865,23.0,27.0,-0.002759997919201851,79.17171783447266
166,24.9,1.5951314818673865,23.0,27.0,-0.023189998464658856,79.29917831420899
167,24.9,1.5951314818673865,23.0,27.0,0.16105999872088433,79.38711776733399
168,24.9,1.5951314818673865,23.0,27.0,0.0389199985191226,79.45310897827149
169,24.9,1.5951314818673865,23.0,27.0,0.0828399982303381,79.54904708862304
170,24.9,1.5951314818673865,23.0,27.0,-0.13911999664269387,79.63520736694336
171,24.9,1.5951314818673865,23.0,27.0,0.020100005622953176,79.7301872253418
172,24.9,1.5951314818673865,23.0,27.0,0.17830999344587325,79.83735885620118
173,24.9,1.5951314818673865,23.0,27.0,0.07624999713152647,79.93370666503907
174,24.9,1.5951314818673865,23.0,27.0,0.0868899941444397,80.00813903808594
175,24.9,1.5951314818673865,23.0,27.0,0.05704999938607216,80.1285385131836
176,24.9,1.5951314818673865,23.0,27.0,0.031220000982284547,80.21434631347657
177,24.9,1.5951314818673865,23.0,27.0,-0.0280299985781312,80.28427810668946
178,25.0,1.4907119849998598,23.0,27.0,-0.015289998706430196,80.36114807128907
179,25.0,1.4907119849998598,23.0,27.0,0.053249999321997164,80.42636795043946
180,25.0,1.4907119849998598,23.0,27.0,-0.03298999816179275,80.49026794433594
181,25.0,1.4907119849998598,23.0,27.0,-0.04817999368533492,80.58768692016602
182,25.0,1.4907119849998598,23.0,27.0,-0.09574000239372253,80.6657485961914
183,25.0,1.4907119849998598,23.0,27.0,0.023919999905047007,80.7210578918457
184,25.1,1.3703203194062976,23.0,27.0,0.05577999986708164,80.78595733642578
185,25.1,1.3703203194062976,23.0,27.0,-0.06814999505877495,80.85546798706055
186,25.1,1.3703203194062976,23.0,27.0,-0.028800000622868537,80.93766860961914
187,25.1,1.3703203194062976,23.0,27.0,-0.013909997045993805,81.02499771118164
188,25.1,1.3703203194062976,23.0,27.0,-0.061909995041787624,81.08632736206054
189,25.1,1.3703203194062976,23.0,27.0,-0.09754999689757823,81.13844680786133
190,25.1,1.3703203194062976,23.0,27.0,-5.000075325369835e-05,81.2246482849121
191,25.1,1.3703203194062976,23.0,27.0,0.17753999382257463,81.27554779052734
192,25.1,1.3703203194062976,23.0,27.0,0.026200002804398537,81.33556900024413
193,25.1,1.3703203194062976,23.0,27.0,0.013990001752972603,81.40992736816406
194,25.3,1.3374935098492586,23.0,27.0,-0.011380001530051231,81.47016754150391
195,25.3,1.3374935098492586,23.0,27.0,-0.05272999554872513,81.54093780517579
196,25.3,1.3374935098492586,23.0,27.0,-0.07147999927401542,81.57923812866211
197,25.3,1.3374935098492586,23.0,27.0,0.10769999325275421,81.63223648071289
198,25.3,1.3374935098492586,23.0,27.0,0.08466999568045139,81.69686737060547
199,25.3,1.3374935098492586,23.0,27.0,0.09352999068796634,81.74860763549805
200,25.3,1.3374935098492586,23.0,27.0,0.07580999732017517,81.78047790527344
201,25.3,1.3374935098492586,23.0,27.0,0.05027999617159366,81.82242736816406
