world,policy,eval_seed,sensor_noise_std,steps,population_size,mean_fitness,best_fitness,mean_food_hits,mean_toxin_hits,survival_rate,cue_action_coverage,oracle_action_agreement,mean_action_magnitude
moving_toxins,fixed_motor_argmax,45,0.05,480,10000,-14.5068998336792,12.0,20.395299911499023,34.902198791503906,0.022099999710917473,0.068073125,0.31016890537442887,0.06902725260416667
moving_toxins,base_adapter,45,0.05,480,10000,1.430400013923645,46.0,28.31479835510254,26.8843994140625,0.6362999677658081,1.0,0.6361170833333334,1.0
moving_toxins,augmented_adapter,45,0.05,480,10000,1.4407999515533447,37.0,28.686199188232422,27.245399475097656,0.6340999603271484,1.0,0.6509566666666666,1.0
moving_toxins,fixed_motor_argmax,46,0.05,480,10000,-11.230199813842773,16.0,22.025400161743164,33.25559997558594,0.06439999490976334,0.06992541666666667,0.31482651158079145,0.07083595703125
moving_toxins,base_adapter,46,0.05,480,10000,1.3108999729156494,48.0,31.951799392700195,30.640899658203125,0.6175000071525574,1.0,0.6380616666666666,1.0
moving_toxins,augmented_adapter,46,0.05,480,10000,2.319700002670288,35.0,29.47599983215332,27.156299591064453,0.6865999698638916,1.0,0.6458104166666667,1.0
moving_toxins,fixed_motor_argmax,47,0.05,480,10000,-10.754300117492676,17.0,26.167598724365234,36.921897888183594,0.06949999928474426,0.067504375,0.3096404245403847,0.06834635416666666
moving_toxins,base_adapter,47,0.05,480,10000,1.9951999187469482,38.0,28.70549964904785,26.710298538208008,0.668999969959259,1.0,0.6312883333333333,1.0
moving_toxins,augmented_adapter,47,0.05,480,10000,2.1282999515533447,35.0,29.18239974975586,27.054100036621094,0.6728999614715576,1.0,0.6470604166666667,1.0
moving_toxins,fixed_motor_argmax,43,0.15,480,10000,-9.848400115966797,15.0,26.19529914855957,36.043697357177734,0.08609999716281891,0.0627514844797852,0.29381455278263785,0.063670078125
moving_toxins,base_adapter,43,0.15,480,10000,2.7804999351501465,38.0,43.17709732055664,40.39659881591797,0.6692999601364136,1.0,0.6045247916666666,1.0
moving_toxins,augmented_adapter,43,0.15,480,10000,1.7716999053955078,42.0,41.010799407958984,39.239097595214844,0.6158999800682068,1.0,0.613629375,1.0
moving_toxins,fixed_motor_argmax,44,0.15,480,10000,-6.809999942779541,23.0,27.118499755859375,33.928497314453125,0.18439999222755432,0.06054148355895148,0.2943471932112636,0.061377154947916665
moving_toxins,base_adapter,44,0.15,480,10000,2.3297998905181885,40.0,47.03569793701172,44.70589828491211,0.6390999555587769,1.0,0.6044045833333334,1.0
moving_toxins,augmented_adapter,44,0.15,480,10000,1.9990999698638916,37.0,38.34379959106445,36.34469985961914,0.6477000117301941,1.0,0.6146235416666667,1.0
