steps,mean_net_fitness_per_1000_steps,mean_shaped_reward_per_1000_steps,mean_policy_entropy,mean_training_loss,mean_training_reward_per_1000_steps,training_updates,maximum_score_gradient_error,policy_weight_delta_norm,seed,strategy,phase
300,0.4266666869322459,0.39913881355828684,1.351287603378296,0.0,0.0,0,0.0,0.0,184,static_linear_policy,evaluation
300,8.220000267028809,8.21618829437221,0.0,,,0,,,184,oracle_food_reflex,baseline
300,8.220000267028809,8.21618829437221,0.0,0.0,0.0,0,0.0,0.0,184,oracle_food_reflex,evaluation
300,0.4266666869322459,0.39913881355828684,1.351287603378296,,,0,,,184,manual_local_score_policy,baseline
300,-0.0933333362142245,-0.10280338807827016,1.3504801988601685,-0.0001732995735608256,0.016965219012345188,60,3.725290298461914e-09,0.0008371244184672832,184,manual_local_score_policy,evaluation
300,0.4266666869322459,0.39913881355828684,1.351287603378296,,,0,,,184,manual_local_shuffled_reward,baseline
300,0.4700000087420146,0.4661487783479,1.350916862487793,4.0964281371695206e-05,0.04202949718635258,60,1.862645149230957e-09,0.00016485567903146148,184,manual_local_shuffled_reward,evaluation
300,-3.2666667302449546,-3.265346924390954,1.37546968460083,,,0,,,185,static_linear_policy,baseline
300,-3.2666667302449546,-3.265346924390954,1.37546968460083,0.0,0.0,0,0.0,0.0,185,static_linear_policy,evaluation
300,8.783334096272787,8.785851387580236,0.0,,,0,,,185,oracle_food_reflex,baseline
300,8.783334096272787,8.785851387580236,0.0,0.0,0.0,0,0.0,0.0,185,oracle_food_reflex,evaluation
300,-3.2666667302449546,-3.265346924390954,1.37546968460083,,,0,,,185,manual_local_score_policy,baseline
300,0.23000001907348633,0.23289200762597223,1.3747731447219849,-1.218381999782044e-05,-0.36598224064904367,60,2.444721758365631e-09,0.0025824997574090958,185,manual_local_score_policy,evaluation
300,-3.2666667302449546,-3.265346924390954,1.37546968460083,,,0,,,185,manual_local_shuffled_reward,baseline
300,-0.9666667381922404,-0.9717471850694468,1.3755303621292114,-8.157510488047138e-05,-1.1274455528080256,60,1.6298145055770874e-09,0.000664134044200182,185,manual_local_shuffled_reward,evaluation
300,0.02666666793326537,0.015557601641242702,1.3663287162780762,,,0,,,186,static_linear_policy,baseline
300,0.02666666793326537,0.015557601641242702,1.3663287162780762,0.0,0.0,0,0.0,0.0,186,static_linear_policy,evaluation
300,9.483333428700766,9.48254767104828,0.0,,,0,,,186,oracle_food_reflex,baseline
300,9.483333428700766,9.48254767104828,0.0,0.0,0.0,0,0.0,0.0,186,oracle_food_reflex,evaluation
300,0.02666666793326537,0.015557601641242702,1.3663287162780762,,,0,,,186,manual_local_score_policy,baseline
300,0.8100000520547231,0.8029640046693385,1.3680386543273926,-0.0005965796554240417,0.026343360832033796,60,1.6298145055770874e-09,0.0014829057035967708,186,manual_local_score_policy,evaluation
300,0.02666666793326537,0.015557601641242702,1.3663287162780762,,,0,,,186,manual_local_shuffled_reward,baseline
300,0.020000000173846882,0.024242928623377034,1.3722470998764038,-8.831635099492511e-05,0.12615830125586297,60,2.0954757928848267e-09,0.000362114718882367,186,manual_local_shuffled_reward,evaluation
300,-1.290000081062317,-1.311413602991961,1.3634326457977295,,,0,,,187,static_linear_policy,baseline
300,-1.290000081062317,-1.311413602991961,1.3634326457977295,0.0,0.0,0,0.0,0.0,187,static_linear_policy,evaluation
300,9.053333600362143,9.05500705141574,0.0,,,0,,,187,oracle_food_reflex,baseline
300,9.053333600362143,9.05500705141574,0.0,0.0,0.0,0,0.0,0.0,187,oracle_food_reflex,evaluation
300,-1.290000081062317,-1.311413602991961,1.3634326457977295,,,0,,,187,manual_local_score_policy,baseline
300,-1.4100000262260437,-1.3755546751296304,1.367513656616211,-0.0003222277577151544,-0.07262017001287152,60,1.979060471057892e-09,0.0014815630856901407,187,manual_local_score_policy,evaluation
300,-1.290000081062317,-1.311413602991961,1.3634326457977295,,,0,,,187,manual_local_shuffled_reward,baseline
300,-1.3766667246818542,-1.366574451661242,1.366533875465393,-7.546722946851029e-05,0.04164659577389507,60,1.862645149230957e-09,0.0003206440305802971,187,manual_local_shuffled_reward,evaluation
300,-2.7033334970474243,-2.7177531524635077,1.3778623342514038,,,0,,,188,static_linear_policy,baseline
300,-2.7033334970474243,-2.7177531524635077,1.3778623342514038,0.0,0.0,0,0.0,0.0,188,static_linear_policy,evaluation
300,11.330000559488932,11.330482235439122,0.0,,,0,,,188,oracle_food_reflex,baseline
300,11.330000559488932,11.330482235439122,0.0,0.0,0.0,0,0.0,0.0,188,oracle_food_reflex,evaluation
300,-2.7033334970474243,-2.7177531524635077,1.3778623342514038,,,0,,,188,manual_local_score_policy,baseline
300,-1.5500001112620037,-1.5527424376762549,1.3775767087936401,-0.0007664288409917693,0.6447527133339706,60,2.3283064365386963e-09,0.002833673497661948,188,manual_local_score_policy,evaluation
300,-2.7033334970474243,-2.7177531524635077,1.3778623342514038,,,0,,,188,manual_local_shuffled_reward,baseline
300,-3.103333512941996,-3.1064894712611566,1.3773307800292969,2.5827348387489717e-05,0.08765584835549817,60,1.862645149230957e-09,0.0006987564265727997,188,manual_local_shuffled_reward,evaluation
300,-0.16333334147930145,-0.15659383837191854,1.3752484321594238,,,0,,,189,static_linear_policy,baseline
300,-0.16333334147930145,-0.15659383837191854,1.3752484321594238,0.0,0.0,0,0.0,0.0,189,static_linear_policy,evaluation
300,8.990000089009603,8.992174636969963,0.0,,,0,,,189,oracle_food_reflex,baseline
300,8.990000089009603,8.992174636969963,0.0,0.0,0.0,0,0.0,0.0,189,oracle_food_reflex,evaluation
300,-0.16333334147930145,-0.15659383837191854,1.3752484321594238,,,0,,,189,manual_local_score_policy,baseline
300,-0.3233333428700765,-0.34097665529407095,1.3734731674194336,-0.00014679365940537537,0.07075951884287658,60,3.725290298461914e-09,0.0006932364194653928,189,manual_local_score_policy,evaluation
300,-0.16333334147930145,-0.15659383837191854,1.3752484321594238,,,0,,,189,manual_local_shuffled_reward,baseline
300,-0.15000000596046448,-0.14330461473669856,1.3752670288085938,7.265798708431249e-05,0.11429402995648465,60,2.3283064365386963e-09,0.0002693476853892207,189,manual_local_shuffled_reward,evaluation
