seed,strategy,adaptation_samples,source_accuracy,shifted_accuracy,activity,state_contribution,state_specificity,mean_absolute_gate,test_examples_per_second,cumulative_adaptation_seconds,adaptation_trainable_parameters,fast_weight_contribution,class_specificity,active_fast_synapses,mean_absolute_fast_weight
161,dropout_tcn_static,0,0.6045039740947895,0.5769796879599647,0.31679623778066857,,,0.0,11422.026713098043,0.0,0,,,0,0.0
161,dropout_tcn_static,64,0.6045039740947895,0.5769796879599647,0.31679623778066857,,,0.0,11486.980203675184,0.0,0,,,0,0.0
161,dropout_tcn_static,256,0.6045039740947895,0.5769796879599647,0.31679623778066857,,,0.0,11433.160957122504,0.0,0,,,0,0.0
161,dropout_tcn_static,1024,0.6045039740947895,0.5769796879599647,0.31679623778066857,,,0.0,11719.804797525918,0.0,0,,,0,0.0
161,dropout_tcn_static,4096,0.6045039740947895,0.5769796879599647,0.31679623778066857,,,0.0,8940.979988366775,0.0,0,,,0,0.0
161,dropout_tcn_readout,0,0.6045039740947895,0.5769796879599647,0.31679623778066857,,,0.0,7374.832490044545,0.0,16835,,,0,0.0
161,dropout_tcn_readout,64,0.5971936021980179,0.5733980963595329,0.31679623778066857,,,0.0,11495.974260909437,0.021185174999118317,16835,,,0,0.0
161,dropout_tcn_readout,256,0.5932195074084977,0.5736434108527132,0.31679623778066857,,,0.0,11042.82471463876,0.07954963500014856,16835,,,0,0.0
161,dropout_tcn_readout,1024,0.593513884800314,0.5892944755176136,0.31679623778066857,,,0.0,11409.258742770011,0.30939745499927085,16835,,,0,0.0
161,dropout_tcn_readout,4096,0.5980767343734668,0.6018545775684427,0.31679623778066857,,,0.0,9158.361360624058,1.2386661630007438,16835,,,0,0.0
161,dropout_tcn_full_finetune,0,0.6045039740947895,0.5769796879599647,0.31679623778066857,,,0.0,7607.1906544561625,0.0,131971,,,0,0.0
161,dropout_tcn_full_finetune,64,0.5828181728976548,0.5787459523108626,0.32213010686254046,,,0.0,11580.594963715082,0.029518384999391856,131971,,,0,0.0
161,dropout_tcn_full_finetune,256,0.5713865175154548,0.563978019821411,0.32410271231682003,,,0.0,11410.131407358238,0.09642145399811852,131971,,,0,0.0
161,dropout_tcn_full_finetune,1024,0.5808556569522128,0.5908154253753312,0.3114424078220732,,,0.0,11818.191899927773,0.3546725529977266,131971,,,0,0.0
161,dropout_tcn_full_finetune,4096,0.5940535766853106,0.602983024237072,0.33998568216398156,,,0.0,9084.139656100311,1.2977529619965935,131971,,,0,0.0
161,analog_three_factor_readout,0,0.6045039740947895,0.5769796879599647,0.678427895635422,,,0.0,7207.194566592559,0.0,0,0.0,0.0,0,0.0
161,analog_three_factor_readout,64,0.6045039740947895,0.5771268766558728,0.678427895635422,,,0.0,10679.678306342621,0.0197315149998758,0,0.00014718869590812922,4.906289863604307e-05,16749,0.0005104711162857711
161,analog_three_factor_readout,256,0.6045039740947895,0.5775193798449613,0.678427895635422,,,0.0,6415.682974672088,0.11314235300051223,0,0.0005396918849965848,0.00034344029045241253,16768,0.0007007511449046433
161,analog_three_factor_readout,1024,0.6045039740947895,0.5785006378176822,0.678427895635422,,,0.0,10545.656715270421,0.3343842499998573,0,0.0015209498577175573,0.0010303208713570156,16786,0.0011482604313641787
161,analog_three_factor_readout,4096,0.6045039740947895,0.5816406633303896,0.678427895635422,,,0.0,6513.147506438091,1.5562193559999287,0,0.004660975370424869,0.004366597978608611,16786,0.0030454550869762897
161,spiking_three_factor_readout,0,0.6045039740947895,0.5769796879599647,0.20000001776588056,,,0.0,11305.358748756784,0.0,0,0.0,0.0,0,0.0
161,spiking_three_factor_readout,64,0.6045039740947895,0.5769796879599647,0.20000001776588056,,,0.0,6357.932136795314,0.02017553699988639,0,0.0,0.0,16376,0.0005798941128887236
161,spiking_three_factor_readout,256,0.6045039740947895,0.5773721911490531,0.20000001776588056,,,0.0,10498.596580709222,0.07634090099963942,0,0.0003925031890884556,0.00029437739181636946,16719,0.0007920954376459122
161,spiking_three_factor_readout,1024,0.6045039740947895,0.5783043862231381,0.20000001776588056,,,0.0,7389.166303893132,0.30620380800064595,0,0.001324698263173385,0.0007850063781768002,16788,0.001233927090652287
161,spiking_three_factor_readout,4096,0.6045039740947895,0.5814934746344814,0.20000001776588056,,,0.0,10628.888951064071,1.1935205370009498,0,0.00451378667451674,0.003925031890884112,16794,0.003118154127150774
162,dropout_tcn_static,0,0.5994014326366401,0.5553920125601021,0.28685086147905203,,,0.0,9646.399580669666,0.0,0,,,0,0.0
162,dropout_tcn_static,64,0.5994014326366401,0.5553920125601021,0.28685086147905203,,,0.0,11691.664397756998,0.0,0,,,0,0.0
162,dropout_tcn_static,256,0.5994014326366401,0.5553920125601021,0.28685086147905203,,,0.0,11462.033625625598,0.0,0,,,0,0.0
162,dropout_tcn_static,1024,0.5994014326366401,0.5553920125601021,0.28685086147905203,,,0.0,11773.640242245905,0.0,0,,,0,0.0
162,dropout_tcn_static,4096,0.5994014326366401,0.5553920125601021,0.28685086147905203,,,0.0,11592.306695306266,0.0,0,,,0,0.0
162,dropout_tcn_readout,0,0.5994014326366401,0.5553920125601021,0.28685086147905203,,,0.0,6469.428021965535,0.0,16835,,,0,0.0
162,dropout_tcn_readout,64,0.5959179668334805,0.5502404082033167,0.28685086147905203,,,0.0,11190.751280563256,0.04086538099909376,16835,,,0,0.0
162,dropout_tcn_readout,256,0.5893435384162496,0.5493572760278678,0.28685086147905203,,,0.0,11335.913224484108,0.09951662499770464,16835,,,0,0.0
162,dropout_tcn_readout,1024,0.5837994308703758,0.5568638995191836,0.28685086147905203,,,0.0,11415.671337496833,0.32497648599746753,16835,,,0,0.0
162,dropout_tcn_readout,4096,0.5854185065253655,0.5711412030222746,0.28685086147905203,,,0.0,11185.080444761657,1.2258137379976688,16835,,,0,0.0
162,dropout_tcn_full_finetune,0,0.5994014326366401,0.5553920125601021,0.28685086147905203,,,0.0,6453.286983767748,0.0,131971,,,0,0.0
162,dropout_tcn_full_finetune,64,0.581199097242665,0.553380433716024,0.29212781517291114,,,0.0,11323.753840938307,0.043263030998787144,131971,,,0,0.0
162,dropout_tcn_full_finetune,256,0.5551466980669217,0.5386125012265724,0.2928440946438235,,,0.0,11458.910560421748,0.10727282799962268,131971,,,0,0.0
162,dropout_tcn_full_finetune,1024,0.5772740653517809,0.5701599450495535,0.2813459730408,,,0.0,11382.907588813108,0.34154299900001206,131971,,,0,0.0
162,dropout_tcn_full_finetune,4096,0.5902266705916985,0.5915513688548719,0.29479919017068934,,,0.0,11080.43400556273,1.283391564998965,131971,,,0,0.0
162,analog_three_factor_readout,0,0.5994014326366401,0.5553920125601021,0.5984722315159692,,,0.0,6402.943429389984,0.0,0,0.0,0.0,0,0.0
162,analog_three_factor_readout,64,0.5994014326366401,0.5557845157491904,0.5984722315159692,,,0.0,10203.613615312675,0.02135110400013218,0,0.0003925031890883446,0.0005396918849964738,16686,0.0005961935967206955
162,analog_three_factor_readout,256,0.5994014326366401,0.5562260818369149,0.5984722315159692,,,0.0,6946.762320641265,0.08162111199999345,0,0.0008340692768128433,0.0011775095672652558,16765,0.0008189046639017761
162,analog_three_factor_readout,1024,0.5994014326366401,0.5562260818369149,0.5984722315159692,,,0.0,10690.830656087724,0.29392685899983917,0,0.0008340692768128433,0.001324698263173385,16781,0.001282776240259409
162,analog_three_factor_readout,4096,0.5994014326366401,0.5584829751741733,0.5984722315159692,,,0.0,6751.938499781184,1.1812108689991874,0,0.0030909626140712687,0.0037778431949759828,16797,0.0030709444545209408
162,spiking_three_factor_readout,0,0.5994014326366401,0.5553920125601021,0.20000001776588056,,,0.0,10623.058152974332,0.0,0,0.0,0.0,0,0.0
162,spiking_three_factor_readout,64,0.5994014326366401,0.5557845157491904,0.20000001776588056,,,0.0,7020.690719920957,0.02404914199905761,0,0.0003925031890883446,0.000686880580904714,15509,0.0006311576580628753
162,spiking_three_factor_readout,256,0.5994014326366401,0.5559317044450987,0.20000001776588056,,,0.0,10073.120376542585,0.08313969899973017,0,0.0005396918849965848,0.0010303208713571266,16364,0.0008606947958469391
162,spiking_three_factor_readout,1024,0.5994014326366401,0.556324207634187,0.20000001776588056,,,0.0,7383.881660094542,0.32269778399859206,0,0.0009321950740849294,0.001275635364537342,16609,0.0013188259908929467
162,spiking_three_factor_readout,4096,0.5994014326366401,0.5583848493769011,0.20000001776588056,,,0.0,10782.024979872052,1.185515986997416,0,0.0029928368167990715,0.004023157688156198,16719,0.0030555250123143196
