world,group,neuron_count,hidden_neurons,max_edges,seed,generation,epoch_best_fitness,all_time_best_fitness,selection_best_fitness,mean_population_fitness,selection_mean_fitness,mean_active_synapses,active_edge_utilization,fitness_per_active_synapse,mean_hidden_edges,mean_hidden_edge_fraction,mean_direct_sensor_motor_fraction,sprout_count,prune_count,low_ltw_prune_count,ltw_mutation_count
simple,gentle_ltw_scheduled,32,20,256,42,33,13.0,18.0,13.0,-0.6270999908447266,-0.6270999908447266,46.00339889526367,0.17970077693462372,0.28258781551331047,32.846099853515625,0.7079646587371826,0.20516391098499298,10716,84,60,224701
simple,gentle_ltw_scheduled,32,20,256,42,34,15.0,18.0,15.0,-0.9095999598503113,-0.9095999598503113,47.04999923706055,0.18378905951976776,0.31880978200281745,33.71540069580078,0.7108059525489807,0.20124447345733643,10372,130,81,230129
simple,gentle_ltw_scheduled,32,20,256,42,35,13.0,18.0,13.0,-0.6103000044822693,-0.6103000044822693,48.16559982299805,0.18814687430858612,0.26990217183577514,34.66429901123047,0.7140988111495972,0.19697770476341248,10371,171,107,235728
simple,gentle_ltw_scheduled,32,20,256,42,36,16.0,18.0,16.0,-0.19049999117851257,-0.19049999117851257,49.176300048828125,0.19209492206573486,0.3253599799926648,35.56589889526367,0.7179571390151978,0.1932903677225113,10369,238,152,240816
simple,gentle_ltw_scheduled,32,20,256,42,37,15.0,18.0,15.0,-0.8030999898910522,-0.8030999898910522,50.30189895629883,0.1964917927980423,0.29819947777780054,36.53219985961914,0.7211738228797913,0.1890917867422104,10359,324,200,246492
simple,gentle_ltw_scheduled,32,20,256,42,38,13.0,18.0,13.0,-1.0881999731063843,-1.0881999731063843,51.42679977416992,0.20088593661785126,0.2527864859778713,37.48310089111328,0.7241265177726746,0.1854041963815689,10294,454,282,252214
simple,gentle_ltw_scheduled,32,20,256,42,39,16.0,18.0,16.0,-0.675000011920929,-0.675000011920929,52.385799407958984,0.20463202893733978,0.305426283092458,38.31959915161133,0.7270883321762085,0.18223033845424652,10231,517,330,257072
simple,gentle_ltw_scheduled,32,20,256,42,40,14.0,18.0,14.0,-0.6800999641418457,-0.6800999641418457,53.38039779663086,0.2085171788930893,0.2622685588319767,39.18510055541992,0.7298686504364014,0.17913275957107544,10062,630,405,262186
simple,gentle_ltw_scheduled,32,20,256,42,41,17.0,18.0,17.0,-0.3228999972343445,-0.3228999972343445,54.35709762573242,0.21233241260051727,0.31274664657504214,39.99409866333008,0.7317553758621216,0.17609141767024994,10226,787,511,267066
simple,gentle_ltw_scheduled,32,20,256,42,42,14.0,18.0,14.0,-0.8605999946594238,-0.8605999946594238,55.19649887084961,0.2156113237142563,0.2536392757946045,40.69070053100586,0.733485758304596,0.17387202382087708,10099,962,616,271414
simple,gentle_ltw_scheduled,32,20,256,42,43,19.0,19.0,19.0,-1.3185999393463135,-1.3185999393463135,56.127899169921875,0.21924960613250732,0.33851258074846713,41.48509979248047,0.7356194257736206,0.17127647995948792,10091,1126,734,276157
simple,gentle_ltw_scheduled,32,20,256,42,44,17.0,19.0,17.0,-0.40639999508857727,-0.40639999508857727,57.18369674682617,0.22337381541728973,0.29728753066219943,42.35799789428711,0.7375100255012512,0.16840551793575287,10050,1433,903,281610
simple,gentle_ltw_scheduled,32,20,256,42,45,15.0,19.0,15.0,-0.5054999589920044,-0.5054999589920044,58.07099914550781,0.2268398404121399,0.2583044931328748,43.108097076416016,0.7391365766525269,0.1659136861562729,9718,1686,1062,286339
simple,gentle_ltw_scheduled,32,20,256,42,46,16.0,19.0,16.0,-0.5546000003814697,-0.5546000003814697,58.891998291015625,0.23004686832427979,0.2716837679872192,43.741600036621094,0.7397110462188721,0.1632622927427292,10001,1913,1231,290416
simple,gentle_ltw_scheduled,32,20,256,42,47,17.0,19.0,17.0,-1.0900999307632446,-1.0900999307632446,59.693397521972656,0.2331773340702057,0.28478861491746116,44.3406982421875,0.73996502161026,0.1612071990966797,9895,2285,1441,294662
simple,gentle_ltw_scheduled,32,20,256,42,48,17.0,19.0,17.0,-1.2252999544143677,-1.2252999544143677,60.529598236083984,0.23644374310970306,0.2808543340019339,45.036598205566406,0.7414767146110535,0.15944978594779968,10009,2499,1587,298893
simple,gentle_ltw_scheduled,32,20,256,42,49,19.0,19.0,19.0,-0.30869999527931213,-0.30869999527931213,61.2859992980957,0.23939843475818634,0.31002186825059036,45.7057991027832,0.7433282136917114,0.15712745487689972,9735,2777,1757,302951
simple,gentle_ltw_scheduled,32,20,256,42,50,17.0,19.0,17.0,-0.7282999753952026,-0.7282999753952026,62.04229736328125,0.24235272407531738,0.2740066168159205,46.32550048828125,0.7443925738334656,0.15532171726226807,9697,3160,2015,306943
simple,gentle_ltw_scheduled,32,20,256,42,51,17.0,19.0,17.0,-0.802299976348877,-0.802299976348877,62.77029800415039,0.24519647657871246,0.27082872856324425,46.95389938354492,0.7459104061126709,0.15328092873096466,9715,3512,2222,310750
simple,gentle_ltw_scheduled,32,20,256,42,52,20.0,20.0,20.0,0.2694999873638153,0.2694999873638153,63.260597229003906,0.2471117079257965,0.31615256377678236,47.374298095703125,0.7467445135116577,0.15171919763088226,9736,3732,2348,313301
simple,gentle_ltw_scheduled,32,20,256,42,53,18.0,20.0,18.0,-0.2890999913215637,-0.2890999913215637,63.7244987487793,0.24892382323741913,0.2824659330936645,47.80339813232422,0.7480968832969666,0.15047694742679596,9666,4251,2637,315915
simple,gentle_ltw_scheduled,32,20,256,42,54,18.0,20.0,18.0,-0.5597999691963196,-0.5597999691963196,64.3156967163086,0.25123319029808044,0.2798694707358386,48.31290054321289,0.749309241771698,0.1491193324327469,9609,4348,2738,318948
