seed,arm,classifier,schedule,adaptive_fraction,adaptive_neurons,adaptation_decay,adaptation_strength,warmup_epochs,train_accuracy,test_accuracy,active_edges,scope_trainable_edges,readout_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,initial_mean_adaptation,final_mean_adaptation,final_mean_adaptive_threshold,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,end_to_end_examples_per_second,paired_lif_test_accuracy,accuracy_gain_vs_lif_control,event_rate_vs_lif_control
42,alif50_frozen,mlp,frozen,0.5,32,0.95,0.5,0,0.55255,0.5572,272,0,17802,17802,0.01428046877682209,0.01428046877682209,1.0,0.12384817115068436,0.12384817115068436,1.0619240745544434,0.0,0.0,0.0,3.6771996690004016,0.060950205001063296,82034.17855465414,0.5628,-0.005599999999999938,0.8540990092452766
42,alif25_warm_all,mlp,warmup,0.25,16,0.95,0.5,10,0.556,0.5684,272,272,17802,18074,0.014919921843707561,0.016135156226158142,1.0814504522999966,0.1887061805009842,0.2022199934244156,1.1011100191116332,0.005809239577502012,0.0,0.0036764706019312143,6.983692438001526,0.04321315500055789,115705.50680540333,0.5746,-0.006199999999999983,0.8651014683008531
42,alif50_warm_all,mlp,warmup,0.5,32,0.95,0.5,10,0.5577,0.5634,272,272,17802,18074,0.01428046877682209,0.015277343700826168,1.0698068767617808,0.12384817115068436,0.13083343775272369,1.065416739654541,0.005552001763135195,0.0,0.0036764706019312143,6.922584394000296,0.05473999400055618,91340.89419062044,0.5746,-0.011199999999999988,0.8191090487178015
42,alif100_warm_all,mlp,warmup,1.0,64,0.95,0.5,10,0.54815,0.5604,272,272,17802,18074,0.013205859352648258,0.013963671803474426,1.0573845617001971,0.09149244575500488,0.09665424021482467,1.0483271257400513,0.0046712723560631275,0.0,0.0,6.776677627000026,0.045796657001119456,109178.27473472091,0.5746,-0.01419999999999999,0.7486753032160292
43,raw,linear,raw,0.0,0,0.95,0.5,0,0.8411,0.8578,0,0,650,650,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6862430250002944,0.0023021950000838842,2171840.352280244,0.459,0.3988,0.0
43,lif_frozen,linear,frozen,0.0,0,0.95,0.5,0,0.4266,0.4424,272,0,1290,1290,0.016587109199166297,0.016587109199166297,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.168146734000402,0.042220994999297545,118424.49473498168,0.4424,0.0,1.0
43,lif_warm_all,linear,warmup,0.0,0,0.95,0.5,10,0.4383,0.459,272,272,1290,1562,0.016587109199166297,0.021082031241059302,1.2709888738249175,0.0,0.0,1.0,0.018292026594281197,0.0,0.0036764706019312143,7.152505796000696,0.04184863899899938,119478.19856506093,0.459,0.0,1.0
43,alif50_frozen,linear,frozen,0.5,32,0.95,0.5,0,0.426,0.4392,272,0,1290,1290,0.01564218746572733,0.01564218746572733,1.0,0.058478650641441345,0.058478650641441345,1.0292393342971802,0.0,0.0,0.0,3.167785849000211,0.04536615299912228,110214.3265287832,0.4424,-0.003200000000000036,0.9430327658609458
43,alif25_warm_all,linear,warmup,0.25,16,0.95,0.5,10,0.44045,0.4596,272,272,1290,1562,0.016521484357118605,0.020767968660593033,1.2570280134450962,0.01818718903660774,0.029096953669190406,1.0145484907150268,0.018565522506833076,0.0,0.0036764706019312143,7.209118282000418,0.04302998000093794,116198.05539977043,0.459,0.0005999999999999894,0.985102831085147
43,alif50_warm_all,linear,warmup,0.5,32,0.95,0.5,10,0.43975,0.451,272,272,1290,1562,0.01564218746572733,0.019249999970197676,1.230646289873153,0.058478650641441345,0.07240585092306137,1.0362029371261596,0.018491843715310097,0.0,0.0036764706019312143,6.311129268999139,0.04512508799962234,110803.10801924301,0.459,-0.008000000000000007,0.913099869271915
43,alif100_warm_all,linear,warmup,1.0,64,0.95,0.5,10,0.41955,0.4244,272,272,1290,1562,0.012944140614569187,0.01506835938245058,1.1641065893158247,0.08943130166530609,0.10353851776123046,1.051769267654419,0.017061661928892136,0.0,0.0036764706019312143,7.2196469089994935,0.04238817000077688,117957.43953816268,0.459,-0.03460000000000002,0.7147489352498201
43,raw,mlp,raw,0.0,0,0.95,0.5,0,0.93825,0.9412,0,0,17785,17785,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8175077760006388,0.0029387539998424472,1701401.3422927065,0.5606,0.38060000000000005,0.0
43,lif_frozen,mlp,frozen,0.0,0,0.95,0.5,0,0.5455,0.5506,272,0,17802,17802,0.016587109199166297,0.016587109199166297,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.3306521410013374,0.04357668900047429,114740.24563788176,0.5506,0.0,1.0
43,lif_warm_all,mlp,warmup,0.0,0,0.95,0.5,10,0.5476,0.5606,272,272,17802,18074,0.016587109199166297,0.017739453062415124,1.0694722539902701,0.0,0.0,1.0,0.005534715484827757,0.0,0.0036764706019312143,7.195342684999559,0.07296921799934353,68522.0444605146,0.5606,0.0,1.0
43,alif50_frozen,mlp,frozen,0.5,32,0.95,0.5,0,0.54605,0.5538,272,0,17802,17802,0.01564218746572733,0.01564218746572733,1.0,0.058478650641441345,0.058478650641441345,1.0292393342971802,0.0,0.0,0.0,3.4241330360000575,0.04481920499893022,111559.31927215899,0.5506,0.0031999999999999806,0.9430327658609458
43,alif25_warm_all,mlp,warmup,0.25,16,0.95,0.5,10,0.55005,0.5568,272,272,17802,18074,0.016521484357118605,0.01763867188990116,1.06762028814325,0.01818718903660774,0.024839215180277825,1.0124196155548095,0.005575256422162056,0.0,0.0036764706019312143,6.555372929000441,0.05623479400128417,88912.92461897914,0.5606,-0.0038000000000000256,0.9943188117379171
43,alif50_warm_all,mlp,warmup,0.5,32,0.95,0.5,10,0.55145,0.5618,272,272,17802,18074,0.01564218746572733,0.01675078127682209,1.070872044816221,0.058478650641441345,0.06375089883804322,1.0318754501342773,0.005707793403416872,0.0,0.0036764706019312143,7.181892679000157,0.043375867999202455,115271.4684601109,0.5606,0.0011999999999999789,0.9442670649363057
43,alif100_warm_all,mlp,warmup,1.0,64,0.95,0.5,10,0.53655,0.5482,272,272,17802,18074,0.012944140614569187,0.0136609375,1.0553761664659318,0.08943130166530609,0.09429366416931152,1.0471468194961548,0.004971460439264774,0.0,0.0036764706019312143,6.721283083999879,0.06788907400004973,73649.55368217775,0.5606,-0.012399999999999967,0.7700878630211918
44,raw,linear,raw,0.0,0,0.95,0.5,0,0.84235,0.8606,0,0,650,650,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7264587279987609,0.002732646000367822,1829728.4021885693,0.4436,0.41700000000000004,0.0
44,lif_frozen,linear,frozen,0.0,0,0.95,0.5,0,0.42515,0.4246,272,0,1290,1290,0.014374609366059303,0.014374609366059303,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.572146750999309,0.04247910500089347,117704.92810276568,0.4246,0.0,1.0
44,lif_warm_all,linear,warmup,0.0,0,0.95,0.5,10,0.44435,0.4436,272,272,1290,1562,0.014374609366059303,0.017785546773672105,1.2372890504883254,0.0,0.0,1.0,0.020223518833518028,0.0,0.0036764706019312143,6.2355853139997635,0.04230970499884279,118176.1962210976,0.4436,0.0,1.0
44,alif50_frozen,linear,frozen,0.5,32,0.95,0.5,0,0.4241,0.432,272,0,1290,1290,0.012257421891391278,0.012257421891391278,1.0,0.09945744633674622,0.09945744633674622,1.0497287281036376,0.0,0.0,0.0,3.8768879830004153,0.057349861001057434,87184.16945958785,0.4246,0.007400000000000018,0.8527133906214498
44,alif25_warm_all,linear,warmup,0.25,16,0.95,0.5,10,0.44435,0.4442,272,272,1290,1562,0.014374609366059303,0.017782031139731407,1.2370444780028291,0.00020611436963081359,0.0012063086666166782,1.0006031700134277,0.020218240097165108,0.0,0.0036764706019312143,6.597247548001178,0.043800078999993275,114155.04524548387,0.4436,0.0005999999999999894,0.9998023319729533
44,alif50_warm_all,linear,warmup,0.5,32,0.95,0.5,10,0.4365,0.4362,272,272,1290,1562,0.012257421891391278,0.015178515572845936,1.2383122411333676,0.09945744633674622,0.11417670141458511,1.057088352394104,0.017234740778803825,0.0,0.0036764706019312143,7.40467336599977,0.04337923300045077,115262.52665527865,0.4436,-0.007400000000000018,0.8534185519286172
44,alif100_warm_all,linear,warmup,1.0,64,0.95,0.5,10,0.43175,0.435,272,272,1290,1562,0.011518750020861626,0.013612499967217445,1.1817688501411894,0.07959387573003769,0.09356147581338882,1.0467807418823243,0.017381472513079643,0.0,0.0036764706019312143,6.642144508999991,0.04686612899968168,106686.85694169367,0.4436,-0.008599999999999997,0.7653686524480647
44,raw,mlp,raw,0.0,0,0.95,0.5,0,0.9416,0.9426,0,0,17785,17785,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8617006940003193,0.0028735630003211554,1740000.132045544,0.556,0.38659999999999994,0.0
44,lif_frozen,mlp,frozen,0.0,0,0.95,0.5,0,0.55595,0.5536,272,0,17802,17802,0.014374609366059303,0.014374609366059303,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8832460869998613,0.05594078399917635,89380.2274933011,0.5536,0.0,1.0
44,lif_warm_all,mlp,warmup,0.0,0,0.95,0.5,10,0.55835,0.556,272,272,17802,18074,0.014374609366059303,0.015461328165233136,1.0755998838994363,0.0,0.0,1.0,0.007387941237539053,0.0,0.0,6.811301896001169,0.044488166999144596,112389.43605152666,0.556,0.0,1.0
44,alif50_frozen,mlp,frozen,0.5,32,0.95,0.5,0,0.54595,0.551,272,0,17802,17802,0.012257421891391278,0.012257421891391278,1.0,0.09945744633674622,0.09945744633674622,1.0497287281036376,0.0,0.0,0.0,3.4453259549991344,0.04549607499939157,109899.59024084751,0.5536,-0.0025999999999999357,0.8527133906214498
44,alif25_warm_all,mlp,warmup,0.25,16,0.95,0.5,10,0.5588,0.5568,272,272,17802,18074,0.014374609366059303,0.015462109333276748,1.0756542275009715,0.00020611436963081359,0.0004375521779060364,1.0002187622070313,0.007338309194892645,0.0,0.0,7.474182205000034,0.04440391800017096,112602.67618683445,0.556,0.0007999999999999119,1.000050523993493
44,alif50_warm_all,mlp,warmup,0.5,32,0.95,0.5,10,0.54865,0.5542,272,272,17802,18074,0.012257421891391278,0.013290624983608723,1.0842920396615452,0.09945744633674622,0.10353585438728333,1.051767922592163,0.0063621047884225845,0.0,0.0,6.669466094001109,0.05827940299968759,85793.60361716132,0.556,-0.0018000000000000238,0.859604352328183
44,alif100_warm_all,mlp,warmup,1.0,64,0.95,0.5,10,0.5446,0.5498,272,272,17802,18074,0.011518750020861626,0.012247656211256982,1.0632799730070739,0.07959387573003769,0.08445576224327088,1.0422278932571412,0.006429281551390886,0.0,0.0,7.24711993100027,0.044604542999877594,112096.20508865478,0.556,-0.006200000000000094,0.7921477430895927
