seed,model,train_samples,test_samples,feature_dim,trainable_parameters,classifier_hidden_units,frozen_active_edges,mean_hidden_spike_rate,train_accuracy,test_accuracy,feature_seconds,feature_examples_per_second,train_seconds,inference_seconds,inference_examples_per_second,feature,classifier,topology,paired_sensor_test_accuracy,accuracy_gain_vs_sensor,paired_feedforward_test_accuracy,recurrence_gain
43,full_feedforward_temporal_linear,20000,5000,1024,10250,0,128,0.02352285198867321,0.92235,0.9134,0.4632196530001238,53970.076265294636,1.1597689200007153,0.007571340999675158,660384.9965566894,full_feedforward_temporal,linear,feedforward,0.8986,0.014800000000000035,0.9134,0.0
43,full_feedforward_temporal_mlp,20000,5000,1024,34165,33,128,0.02352285198867321,0.95275,0.9248,0.4632196530001238,53970.076265294636,1.2646192019992668,0.007929839000098582,630529.8253770147,full_feedforward_temporal,mlp,feedforward,0.918,0.006799999999999917,0.9248,0.0
43,hidden_recurrent_temporal_linear,20000,5000,512,5130,0,384,0.026123046875,0.89405,0.8976,0.3866980020002302,64649.93320546073,0.9338446299998395,0.0051662309997482225,967823.54490995,hidden_recurrent_temporal,linear,recurrent,0.8986,-0.0010000000000000009,0.8932,0.0043999999999999595
43,hidden_recurrent_temporal_mlp,20000,5000,512,34005,65,384,0.026123046875,0.93925,0.928,0.3866980020002302,64649.93320546073,1.186048880999806,0.006461477999437193,773816.7645909357,hidden_recurrent_temporal,mlp,recurrent,0.918,0.010000000000000009,0.9188,0.009200000000000097
43,full_recurrent_temporal_linear,20000,5000,1024,10250,0,384,0.026123046875,0.9232,0.9148,0.3866980020002302,64649.93320546073,1.27998204800042,0.007923109000330442,631065.4062428612,full_recurrent_temporal,linear,recurrent,0.8986,0.016199999999999992,0.9134,0.0013999999999999568
43,full_recurrent_temporal_mlp,20000,5000,1024,34165,33,384,0.026123046875,0.95235,0.9244,0.3866980020002302,64649.93320546073,1.418731392999689,0.008995571000014024,555829.0852234066,full_recurrent_temporal,mlp,recurrent,0.918,0.006399999999999961,0.9248,-0.00039999999999995595
44,raw_intensity_linear,20000,5000,64,650,0,0,0.0,0.84235,0.8606,0.0,0.0,0.6617303170005471,0.0023826350006856956,2098516.977447681,raw_intensity,linear,raw,0.8972,-0.036599999999999966,0.8606,0.0
44,raw_intensity_mlp,20000,5000,64,34210,456,0,0.0,0.95305,0.9532,0.0,0.0,0.7902923239998927,0.004005368000434828,1248324.748052412,raw_intensity,mlp,raw,0.9264,0.026800000000000046,0.9532,0.0
44,sensor_temporal_linear,20000,5000,512,5130,0,0,0.0,0.9038,0.8972,0.36254519900012383,68956.91921710281,0.9364474009998958,0.00501721499949781,996568.8136746117,sensor_temporal,linear,sensor,0.8972,0.0,0.8972,0.0
44,sensor_temporal_mlp,20000,5000,512,34005,65,0,0.0,0.95505,0.9264,0.36254519900012383,68956.91921710281,1.0764310280001155,0.005845880000379111,855303.222042831,sensor_temporal,mlp,sensor,0.9264,0.0,0.9264,0.0
44,hidden_feedforward_temporal_linear,20000,5000,512,5130,0,128,0.01897529326379299,0.88725,0.8916,0.35512331600057223,70398.08109912928,0.9559945010005322,0.005347020999579399,935100.1240491301,hidden_feedforward_temporal,linear,feedforward,0.8972,-0.005600000000000049,0.8916,0.0
44,hidden_feedforward_temporal_mlp,20000,5000,512,34005,65,128,0.01897529326379299,0.9378,0.926,0.35512331600057223,70398.08109912928,1.0822084649998942,0.005579579999903217,896124.7979394022,hidden_feedforward_temporal,mlp,feedforward,0.9264,-0.00039999999999995595,0.926,0.0
44,full_feedforward_temporal_linear,20000,5000,1024,10250,0,128,0.01897529326379299,0.92245,0.9144,0.35512331600057223,70398.08109912928,1.1434102969997184,0.0075250510008118,664447.3239398114,full_feedforward_temporal,linear,feedforward,0.8972,0.017199999999999993,0.9144,0.0
44,full_feedforward_temporal_mlp,20000,5000,1024,34165,33,128,0.01897529326379299,0.95345,0.9286,0.35512331600057223,70398.08109912928,1.2674386489998142,0.008738692000406445,572168.0086410466,full_feedforward_temporal,mlp,feedforward,0.9264,0.0021999999999999797,0.9286,0.0
44,hidden_recurrent_temporal_linear,20000,5000,512,5130,0,384,0.02088066376745701,0.8912,0.892,0.36254519900012383,68956.91921710281,1.0148412850003297,0.006756599999789614,740017.1684213494,hidden_recurrent_temporal,linear,recurrent,0.8972,-0.005199999999999982,0.8916,0.00040000000000006697
44,hidden_recurrent_temporal_mlp,20000,5000,512,34005,65,384,0.02088066376745701,0.9355,0.923,0.36254519900012383,68956.91921710281,1.2081802450002215,0.006363699000758061,785706.5520233415,hidden_recurrent_temporal,mlp,recurrent,0.9264,-0.0033999999999999586,0.926,-0.0030000000000000027
44,full_recurrent_temporal_linear,20000,5000,1024,10250,0,384,0.02088066376745701,0.9234,0.9158,0.36254519900012383,68956.91921710281,1.189314266999645,0.008682432000568951,575875.5150253241,full_recurrent_temporal,linear,recurrent,0.8972,0.01859999999999995,0.9144,0.0013999999999999568
44,full_recurrent_temporal_mlp,20000,5000,1024,34165,33,384,0.02088066376745701,0.9523,0.9278,0.36254519900012383,68956.91921710281,1.3803514310002356,0.00786680700002762,635581.8822023275,full_recurrent_temporal,mlp,recurrent,0.9264,0.0013999999999999568,0.9286,-0.0008000000000000229
