seed,strategy,adaptation_samples,source_accuracy,shifted_accuracy,activity,state_contribution,state_specificity,mean_absolute_gate,test_examples_per_second,cumulative_adaptation_seconds,adaptation_trainable_parameters
155,dropout_tcn_readout,64,0.6146599941124522,0.5827691099990188,0.29418974237216955,,,0.0,10526.502307901832,0.027343403000486433,16835
155,dropout_tcn_readout,256,0.605975861053871,0.5804631537631243,0.29418974237216955,,,0.0,7507.673278029972,0.09068091900098807,16835
155,dropout_tcn_readout,1024,0.59729172799529,0.5834069276812874,0.29418974237216955,,,0.0,8678.332234250265,0.5069598890013367,16835
155,dropout_tcn_readout,4096,0.6130899813560985,0.6013148856834462,0.29418974237216955,,,0.0,10578.717771089014,1.4612586870016457,16835
155,dropout_tcn_full_finetune,0,0.6201059758610539,0.5829653615935629,0.29418974237216955,,,0.0,10524.710473396935,0.0,131971
155,dropout_tcn_full_finetune,64,0.5882641546462565,0.5655970954764007,0.29824185158504307,,,0.0,10422.231846323866,0.03425428699938493,131971
155,dropout_tcn_full_finetune,256,0.5815425375331175,0.5731527818663527,0.29779851062002344,,,0.0,6744.978099474888,0.10930189899954712,131971
155,dropout_tcn_full_finetune,1024,0.5879697772544402,0.5846825630458248,0.29728936921823784,,,0.0,10065.279421055138,0.5367514249992382,131971
155,dropout_tcn_full_finetune,4096,0.6137277990383672,0.6086743204788538,0.31920697153076644,,,0.0,10601.59070809136,1.5757266179989529,131971
155,analog_state_adapter,0,0.6201059758610539,0.5829653615935629,0.4555461986056021,0.0,0.0,0.0,8613.732896163614,0.0,16867
155,analog_state_adapter,64,0.6201550387596899,0.5829162986949269,0.4555605376226466,-4.906289863604307e-05,-4.906289863604307e-05,0.002938066842034459,8646.344816821313,0.06127911699968536,16867
155,analog_state_adapter,256,0.6198115984692376,0.5829653615935629,0.4556009051037331,0.0,-0.0001962515945441723,0.004606663249433041,6508.971558331887,0.161776404000193,16867
155,analog_state_adapter,1024,0.6196644097733294,0.5845353743499166,0.4562921509484456,0.0015700127563537114,0.00029437739181636946,0.007015686482191086,9020.617840936147,0.5305673660004686,16867
155,analog_state_adapter,4096,0.618388774408792,0.5942007653812187,0.46166524313263774,0.011235403787655751,0.0003434402904523015,0.02107241563498974,8955.366820839137,2.566026075000991,16867
155,lif_state_adapter,0,0.6201059758610539,0.5829653615935629,0.16851483831115777,0.0,0.0,0.0,5608.482096176148,0.0,16899
155,lif_state_adapter,64,0.6201550387596899,0.5828181728976548,0.1686008421198073,-0.00014718869590812922,-4.906289863604307e-05,0.002958805300295353,7294.742157864444,0.11664215499968122,16899
155,lif_state_adapter,256,0.6201550387596899,0.5828181728976548,0.16873863964217203,-0.00014718869590812922,-0.0001962515945441723,0.00482749892398715,7662.824275609875,0.28042997799911973,16899
155,lif_state_adapter,1024,0.6200078500637818,0.5834559905799235,0.16924778718076197,0.0004906289863605418,0.00029437739181636946,0.008377498015761375,7516.060482098712,1.1094140419991163,16899
155,lif_state_adapter,4096,0.620302227455598,0.5903247963889706,0.17421691464016217,0.007359434795407682,-0.00014718869590824024,0.029244620352983475,5849.811119292972,3.233742180998888,16899
156,dropout_tcn_static,0,0.6027377097438916,0.5577960945932686,0.2981192706500615,,,0.0,10732.936284273132,0.0,0
156,dropout_tcn_static,64,0.6027377097438916,0.5577960945932686,0.2981192706500615,,,0.0,10613.006798860864,0.0,0
156,dropout_tcn_static,256,0.6027377097438916,0.5577960945932686,0.2981192706500615,,,0.0,10754.483212794601,0.0,0
156,dropout_tcn_static,1024,0.6027377097438916,0.5577960945932686,0.2981192706500615,,,0.0,8224.670974773477,0.0,0
156,dropout_tcn_static,4096,0.6027377097438916,0.5577960945932686,0.2981192706500615,,,0.0,7346.364155868081,0.0,0
156,dropout_tcn_readout,0,0.6027377097438916,0.5577960945932686,0.2981192706500615,,,0.0,10629.818160199226,0.0,16835
156,dropout_tcn_readout,64,0.5957217152389364,0.557256402708272,0.2981192706500615,,,0.0,10645.4642473744,0.024996541000291472,16835
156,dropout_tcn_readout,256,0.586792267687175,0.5608870572073398,0.2981192706500615,,,0.0,10952.30680600539,0.08838863500022853,16835
156,dropout_tcn_readout,1024,0.5819350407222059,0.5750662349131587,0.2981192706500615,,,0.0,9344.38810726195,0.3510742640009994,16835
156,dropout_tcn_readout,4096,0.5853203807280934,0.5874791482680797,0.2981192706500615,,,0.0,8570.0833757647,1.9456440060012028,16835
156,dropout_tcn_full_finetune,0,0.6027377097438916,0.5577960945932686,0.2981192706500615,,,0.0,10441.803559216843,0.0,131971
156,dropout_tcn_full_finetune,64,0.5757531154940634,0.5567167108232755,0.2947211842923646,,,0.0,10816.43252616511,0.02884340099990368,131971
156,dropout_tcn_full_finetune,256,0.5648120890982239,0.5665292905504857,0.31022316582969567,,,0.0,10190.761240654218,0.11058857700027147,131971
156,dropout_tcn_full_finetune,1024,0.5747718575213424,0.5846335001471887,0.3125849493720115,,,0.0,7582.529635352209,0.40014497700030915,131971
156,dropout_tcn_full_finetune,4096,0.5923854381316849,0.5975861053871063,0.32381079386663486,,,0.0,11077.524877929432,2.0926636230005897,131971
156,analog_state_adapter,0,0.6027377097438916,0.5577960945932686,0.47067166403259125,0.0,0.0,0.0,9045.827790610632,0.0,16867
156,analog_state_adapter,64,0.6026395839466195,0.5576979687959964,0.47071045712872095,-9.812579727219717e-05,0.0,0.002920576836913824,5323.896768540236,0.0658532630004629,16867
156,analog_state_adapter,256,0.6027377097438916,0.5579432832891768,0.47082320974848946,0.00014718869590812922,0.00014718869590812922,0.004648876842111349,9019.955247674692,0.17871713800104772,16867
156,analog_state_adapter,1024,0.6027377097438916,0.5587773525659896,0.4716047631513966,0.0009812579727209725,-0.0001962515945441723,0.008581951260566711,9032.36514196283,0.6723360800015143,16867
156,analog_state_adapter,4096,0.6004317535079973,0.5732509076636247,0.4773356213547182,0.015454813070356122,0.0005396918849965848,0.028502896428108215,5632.774753632272,2.1228076900015367,16867
156,lif_state_adapter,0,0.6027377097438916,0.5577960945932686,0.162227168924885,0.0,0.0,0.0,7864.7242608224105,0.0,16899
156,lif_state_adapter,64,0.6027377097438916,0.5577960945932686,0.16228770716666893,0.0,-4.906289863604307e-05,0.0029684477485716343,7782.2195755418625,0.12609737500042684,16899
156,lif_state_adapter,256,0.6026886468452556,0.5579432832891768,0.16239539162384586,0.00014718869590812922,4.906289863604307e-05,0.004997421521693468,5949.219865534625,0.36756692600101815,16899
156,lif_state_adapter,1024,0.6031302129329801,0.5580904719850849,0.16303582075983652,0.00029437739181625844,-0.00024531449318021536,0.009226597845554352,6639.007194200821,0.9089895140004955,16899
